Class,Text
economy,https://www.hamshahrionline.ir/page/archive.xhtml?wide=0&ms=0&pi=4&tp=10 error
economy,"به گزارش همشهری‌آنلاین، علی اکبر محرابیان در نشستی خبری با خبرنگاران در پاسخ به سوال همشهری تاکید کرد: البته مقامات طالبان بهانه‌تراشی‌هایی می‌کنند که خشکسالی وجود دارد که امیدواریم با ادامه بارش‌ها،نسبت به تخصیص حق‌آبه ایران اقدام کنند؛ در غیراین صورت از ابزارهای قانونی و حقوقی استفاده خواهیم کرد.
وزیر نیرو ضمن ابراز امیدواری نسبت به رهاسازی حق‌آبه کشورمان از روز هیرمند با توجه به بارش های اخیر، گفت: پیگیری این موضوع همچنان در اولویت برنامه‌های وزارت نیرو است و پیگیری این موضوع حق مسلم ایران است و ما در این زمینه کوتاهی نخواهیم داشت و اگر طالبان به وعده خود عمل نکند براساس قوانین بین المللی پیگیری خواهیم کرد.
او درباره آخرین وضعیت بارش‌ها در کشور هم از کسری ۳۰ درصدی بارش‌های امسال نسبت به شرایط نرمال خبر داد و گفت: همکاری مردم در بخش مصرف آب خانگی و کشاورزی ضروری است، چرا که در طی ۲۰روز اخیر بارش‌های خوبی داشتیم اما باید توجه داشته باشیم که در چهارمین سال خشک پیاپی به‌سر می‌بریم و حدود ۳۰درصد نسبت به سال‌های نرمال عقب هستیم. وی افزود: تاثیرات خشکسالی را با اجرای پروژه‌های اضطراری به حداقل می‌رسانیم، با این حال ضرورت فرهنگ‌سازی مصرف و همکاری مردم در بخش مصرف آب خانگی و کشاورزی وجود دارد.
محرابیان از هدفگذاری اجرای ۳۰ میلیارد یورو معادل ۱۲۲۴ هزار میلیارد تومان پروژه آب و برق در دولت سیزدهم خبر داد و گفت: ۷۵۷ هزار میلیارد تومان در بخش برق، ۱۰۵ هزار میلیارد تومان در بخش آب و فاضلاب و ۳۶۲ هزار میلیارد تومان در بخش آب هدفگذاری شده که از این رقم، تا امروز مجموعا بیش از ۴۰۰ هزار میلیارد تومان به بهره‌برداری رسیده و تا پایان دولت بایستی ۸۲۴ هزار میلیارد تومان دیگر به بهره برداری برسد. وی افزود: نه‌تنها نیاز خودمان را در بخش آب و برق به طور کامل برطرف میکنیم، بلکه امروز صادرات خدمات فنی و مهندسی آب و برق ایران به بیش از ۵۰ کشور جهان در حال انجام است.
این عضو کابینه دولت سیزدهم: در برنامه ابتدای دولت، هدفگذاری شده بود در بخش آبرسانی شهری و تصفیه آب، ۷۰۰ میلیون مترمکعب به ظرفیت اضافه شود که تا امروز با تحقق ۱۶۳ درصدی برنامه، ۱۱۴۴ میلیون مترمکعب به ظرفیت آبرسانی شهری و تصفیه آب شرب شهری افزوده شده است. وزیر نیرو با بیان اینکه هدفگذاری شده بود که ۳۰ سد با مجموع ظرفیت مخزن ۵.۴ میلیارد مترمکعب در دولت سیزدهم به بهره‌برداری برسد،گفت: تا امروز ۲۱ سد با حجم مخزن ۳.۹ میلیارد مترمکعب آبگیری و افتتاح شده که بیش از ۷۰ درصد برنامه محقق شده است‌.
وی افزود: هدفگذاری شده بود که میزان برخورداری از آب لوله کشی بهداشتی و شرب در جمعیت روستایی به عدد ۹۰ درصد برسد که تا امروز این ضریب با تحقق ۶۰ درصدی، به ۸۶.۸۱ درصد زسیده است. به گفته او در بخش برق هدفگذاری شده بود که ۱۰ هزار مگاوات نیروگاه تحت مدیریت و قرارداد وزارت نیرو احداث شود که تا امروز از این رقم، ۸ هزار مگاوات به شبکه سنکرون شده است.
جراحی اقتصادی بدون خون ریزی
محرابیان در خصوص برنامه‌های احداث ۱۰ هزار مگاوات نیروگاه در بخش صنایع گفت: امروز شاهد شروع ۶۴۰۰ مگاوات ساخت نیروگاه در بخش صنایع هستیم که تا امروز ۴ واحد آن به بهره‌برداری رسیده است. وی افزود: در خصوص احداث ۱۰ هزار مگاوات نیروگاه تجدیدپذیر، نیازمند یک جراحی افتصادی بودیم تا احداث و بهره‌برداری از نیروگاه‌های تجدیدپذیر را بدون یارانه دولتی، اقتصادی کنیم که این جراحی اقتصادی به خوبی انجام شد و امروز شاهد آغاز احداث ۱۱ هزار مگاوات نیروگاه تجدیدپذیر هستیم و به زودی یک ساختگاه ۱۰۰۰ مگاواتی برای سرمایه گذاری ارائه خواهد شد .
وزیر نیرو تاکید کرد: در ابتدا، ساخت نیروگاه توسط صنایع یک امر شبهه‌داری معرفی می‌شد و این گمانه‌زنی وجود داشت که ممکن است ساخت نیروگاه توسط صنایع اقتصادی نباشد اما در یک مدل قانونی و کاملا اقتصادی و توجیه فنی و مالی توسط صنایع، مشاهده شد که شروع و ساخت این نیروگاه‌ها امری کاملا اقتصادی است. امروزه اطمینان داریم در صنایعی که اقدام به ساخت نیروگاه و بهره‌برداری می‌کنند، سود تولید برق چه بسا از سود تولید دیگر محصولات آنان بیشتر باشد و این رویکرد با تولید هزاران مگاوات نیروگاه توسط صنایع کشور همراه می‌شود."
economy,"به گزارش همشهری آنلاین، شاخص کل بورس تهران در پایان معاملات امروز شنبه ۱۴ بهمن با ۳ هزار و ۸۱۲ واحد افزایش، به ۲ میلیون و ۱۱۱ هزار و ۸۴ واحد رسید.
شاخص هم وزن ۴ هزار و ۸۸۲ واحد افزایش یافت و به ۷۳۷ هزار و ۵۲۹ واحد رسید. نمادهای «فخوز، شپنا، خساپا و خودرو» بیشترین تاثیر مثبت و نمادهای «تاپیکو، کگل و پارسان» بیشترین تاثیر منفی را بر شاخص بورس داشتند.
افزایش نرخ سود بانکی تا ۳۰درصد بر بورس چه تاثیری بر بورس دارد؟
شاخص فرابورس هم در پایان معاملات امروز با ۱۶۱ واحد افزایش به ۲۵ هزار و ۵۷۸ واحد رسید. نمادهای «وسپهر، وهور، هرمز، خاور، وگردش و انتخاب» بیشترین تاثیر مثبت را بر شاخص فرابورس داشتند."
economy,"به گزارش همشهری آنلاین، اگرچه اختصاص سهام عدالت به ۴.۷ میلیون نفر به تصویب مجلس رسیده و قانونا باید پرداخت شود برخی وزارتخانه‌ها هنوز با عرضه سهام شرکت‌های سرمایه‌پذیر برای سهام عدالت موافقت نکرده‌اند.
در حال حاضر حدود ۴.۷ میلیون نفر از افراد تحت پوشش کمیته امداد و بهزیستی فاقد سهام عدالت هستند که باید به این افراد سهام تعلق بگیرد.
اختصاص سهام عدالت به جاماندگان بر اساس مصوبه سال ۱۴۰۱ مجلس شورای اسلامی باید انجام می‌شد که این اقدام صورت نگرفت. در بودجه سال ۱۴۰۲ نیز این موضوع گنجانده نشد. بنابراین نمایندگان مجلس این طرح را به صحن علنی بردند که با اختصاص سهام به جاماندگان موافقت شد. با این حال هنوز پس حدود دو سال این موضوع شکل اجرایی به خود نگرفته است.
وزیر اقتصاد در خصوص آخرین وضعیت سهام عدالت جاماندگان اعلام کرده که شناسایی افراد مشمول سهام عدالت انجام شد و چهار میلیون و ۷۰۰ هزار نفر تایید شدند. مراحل قانونی برای عرضه سهام به این افراد باید اجرا می شد که امیدواریم تا پایان بهمن موافقت وزارتخانه‌های مربوطه را برای این کار بگیریم. برخی از وزارتخانه‌ها هنوز با عرضه سهام شرکت‌های سرمایه‌پذیر برای سهام عدالت موافقت نکرده‌اند.
آخرین جزئیات اعطای سهام عدالت به جاماندگان | فعلا هیچ گونه ثبت نامی انجام نمی شود
اگرچه دولت سیزدهم در افزایش سود سهام عدالت عملکرد قابل قبولی داشته و سود آن را از حدود ۷۰ هزار تومان به ۶۰۰ هزار تا یک میلیون و۲۰۰ هزار تومان افزایش داده، انتظار می‌رود در پرداخت سهام به جاماندگان نیز اقدام مقتضی صورت گیرد. دولت می‌گوید منابع لازم برای تخصیص سهام عدالت به جاماندگان را ندارد.
رئیس اتحادیه تعاونی‌های سهام عدالت مدتی قبل در این خصوص گفت: دولت برای تامین این منابع می‌تواند به ۱۱ شرکت سرمایه‌پذیر که در دولت قبل از سبد سهام عدالت خارج شد مراجعه کنند. پالایشگاه نفت تهران، بانک ملت و برخی دیگر از جمله این شرکت‌ها هستند."
economy,"به گزارش همشهری آنلاین، امروز بانک مرکزی رسما اعلام کرد: پس از انتقال موفق و کامل سپرده‌ها، داراییها، تسهیلات، کارکنان و شعب موسسه اعتباری نور به بانک ملی ایران،؛ این موسسه منحل شد. پیش از این هم این بانک به فعالیت موسسه اعتباری توسعه پایان داده بود و تنها ۲ موسسه اعتباری دیگر باقی مانده است که یکی از آنها هم روزهای آخر حیات خود را طی می‌کند؛ یعنی موسسه اعتباری کاسپین.
البته مقامات بانک مرکزی هنوز اظهارنظری در خصوص احتمال انحلال بانک‌های ناتراز نداشته‌اند و تنها احسان خاندوزی، وزیر اقتصاد چند روز پیش نسبت به ادامه فعالیت این بانک‌ها هشدار داد و اعلام کرد: ناترازی بانک‌ها را نمی‌توان به بعد موکول کرد و از این رو اگر در زمان‌بندی مدنظر بانک مرکزی، بانک‌های ناتراز برای اصلاح رویه موجود اقدام نکنند، با آنها برخورد خواهد شد.
سخنگوی اقتصادی دولت درباره سهم بانک آینده در ایجاد پایه پولی و علت‌عدم برخورد جدی با این بانک، اظهار کرد: ناترازی بانک‌ها موضوعی نیست که بتوان اصلاح آن را به فردا یا دولت بعد موکول کرد، چون هر چه زمان بیشتری می‌گذرد، حجم ناترازی بالاتر می‌رود و تحمیل هزینه بر اقتصاد کشور بیشتر می‌شود.
خاندوزی تاکید کرد که برای امسال مقرر شده بود برای سه موسسه و بانک که مشکل ناترازی آنها از طرق عادی، قابل حل و فصل نیست تصمیم‌گیری شود. در مورد بانک آینده و سایر بانک‌های ناتراز دیگر، اگر در زمان‌بندی مدنظر بانک مرکزی، این بانک‌ها برای اصلاح رویه اقدام نکرده و اصلاح در اضافه‌برداشت‌ها صورت ندهند، با آنها برخورد خواهد شد؛ به‌خصوص اینکه با قانون خوبی که مجلس مصوب کرده، اختیارات بانک مرکزی افزایش یافته و این بانک در موعد خود تصمیم لازم را خواهد گرفت.
نور هم خاموش شد
بانک مرکزی در اطلاعیه‌ای رسمی اعلام کرد: پس از انتقال موفق و کامل سپرده‌ها، داراییها، تسهیلات، کارکنان و شعب موسسه اعتباری نور به بانک ملی ایران در کمتر از ۲ ماه، مجمع عمومی فوق‌العاده مؤسسه اعتباری غیربانکی نور توسط کمیته عالی ساماندهی بازار غیرمتشکل پولی در بانک مرکزی برگزار و بر اساس تصمیم اعضاء مجمع عمومی یاد شده، این موسسه منحل گردید و هیأت تصفیه مؤسسه یاد شده نیز توسط بانک مرکزی ایران منصوب و فرآیند تصفیه مؤسسه آغاز شده است.
در چارچوب مصوبات یاد شده و اختیارات بالادستی اعطایی به بانک مرکزی، مجمع عمومی فوق‌العاده مؤسسه اعتباری غیربانکی نور در روز چهارشنبه مورخ ۱۱/۱۱/۱۴۰۲ توسط کمیته عالی ساماندهی بازار غیرمتشکل پولی برگزار و بر اساس تصمیم اعضاء محترم مجمع عمومی یاد شده مؤسسه مزبور منحل گردیده و هیأت تصفیه مؤسسه یاد شده توسط بانک مرکزی ایران منصوب و فرایند تصفیه مؤسسه آغاز شده است.

این نهاد ناظر بازار پول خاطر نشان می‌سازد، این فرآیند به عنوان گامی مهم در راستای حفظ ثبات و سلامت نظام بانکی محسوب شده و بانک مرکزی از هموطنان گرامی تقاضا دارد اخبار و اطلاعات مربوط به این طرح ملی را صرفاً از طریق اطلاعیه‌های رسمی بانک مرکزی جمهوری اسلامی ایران پیگیری کنند.
پاکسازی بازار پول از ناسالم‌ها
به گزارش همشهری آنلاین، در طول یک دهه اخیر برخورد با موسسات اعتباری فاقد مجوز و پس از آن انحلال بانک‌های نظامی شدت گرفت و در گام نخست بانک مرکزی پرونده برخی از این موسسات تورم‌ساز نظیر ثامن الحجج را بست.
پس از آن سراغ بانک‌ها و نهادهای مالی وابسته به نهادهای نظامی رفت که نتیجه آن ادغام بانک‌های انصار، حکمت، مهر اقتصاد، قوامین و موسسه اعتباری کوثر در بانک سپه بود. در دولت سیزدهم تاکنون پرونده ۲ موسسه اعتباری نور و توسعه هم بسته شد و باید دید نوبت به بانک‌ها ناتراز می‌رسد یا نه؟"
economy,"به گزارش همشهری آنلاین، بازار مبلمان این روزها کساد است و تحت تاثیر گرانی، خریداران کمی در بازار مبل رفت و آمد می‌کنند. بخش عمده گرانی مبلمان، به افزایش قیمت مواد اولیه برمی‌گردد که در نهایت، به افزایش قیمت تمام‌شده کالا ختم می‌شود. به موازات افزایش قیمت مواد اولیه، تقلب هم در این بخش زیاد شده است. یکی از تولیدکنندگان بنام و باسابقه در صنعت مبلمان کشور در این باره به همشهری گفت: در حال حاضر، قیمت مواد اولیه به خصوص چوب بسیار بالا رفته است و تحت تاثیر همین موضوع شاهد جولان دلالان در این بازار هستیم. متاثر از این مسائل، تقلب در ساخت کلاف که بدنه و چارچوب اصلی مبل است، هم افزایش یافته است. برای نمونه، برخی‌ها با تقلب چوب ممرز را که ارزان‌تر از چوب راش است، رنگ می‌کنند و به اسم چوب راش به مشتری معرفی می‌کنند. از آنجایی هم که کلاف، زیر کار است و رنگ می‌شود، خیلی از مشتریان متوجه این گونه تقلب‌ها نمی‌شوند.
رضا لطیف‌زاده با انتقاد از وضعیت تامین مواد اولیه ساخت مبلمان گفت: مواد اولیه روز به روز گران‌تر می‌شود و بازار دست دلالان است و تولیدکنندگان به سختی می‌توانند مواد اولیه تهیه کنند و همین موضوع باعث می‌شود قیمت تمام‌شده مبلمان بالا برود و مردم توان خرید نداشته باشند.
او افزود: در شرایط فعلی دیگر تولید به صرفه نیست و هر کسی به دنبال آن است که دلالی کند. چوب از ارمنستان تا شهرک صنعتی خاوران سه تا چهار دست می‌چرخد و به واسطه حضور دلالان قیمت این کالا از مرز تا زمانی که به دست تولیدکنندگان برسد به شدت افزایش می‌یابد. چوبی که باید هر متر مکعب آن بین ۲۵ تا ۲۷ میلیون تومان به دست ما برسد به قیمت ۵۰ میلیون تومان می‌رسد. برای همین است که برخی‌ها عطای تولید را به لقایش بخشیده و دلال شده‌اند.
این تولیدکننده با انتقاد از دریافت مالیات از همه واحدهای تولیدکننده و توزیع‌کننده در جریان تولید و فروش گفت: هزینه تامین چوب و پرداخت کرایه و بیمه و دارایی آنقدر بالاست که خیلی از تولیدکنندگان ترجیح داده‌اند کار و کاسبی خود را بفروشند و پولشان را در بانک بگذارند در حالی که در روزگاری نه چندان دور هر تولیدکننده تا ۱۵ کارگر در کارگاه خود داشت و با تلاش این عوامل ما به کشورهای اروپایی و کانادا و غیره کار صادر می‌کردیم اما امروز کارگران خوب ما همه مسافرکش شده‌اند.
بیشتر بخوانید:
چرا مبل‌ سازها به بدقولی معروفند؟ | این کشورها خریدار مبلمان ایرانی هستند
چرا قیمت مبلمان بالاست؟ | همه قول و قرارها را در فاکتور خرید درج کنید
افزایش قیمت چوب
این تولیدکننده با بیان اینکه در حال حاضر اگر زوج جوانی بخواهند یک سرویس مبل، یک عدد بوفه و سرویس خواب با کیفیت بخرند باید حداقل ۷۰۰ میلیون تا یک میلیارد تومان پول داشته باشند، افزود: سال ۱۳۹۶ هر متر مکعب چوب یک میلیون و ۲۰۰ هزار تومان بود که ما تولیدکنندگان با تخفیف آن را به قیمت یک میلیون تومان می‌خریدیم. آن زمان ۵۰ متر چوب ۵۰ میلیون تومان می‌شد اما امروز این قیمت‌ها ۵۰ برابر شده است و برای خرید ۵۰ متر چوب باید حدود ۲.۵ میلیارد تومان پول پرداخت نکرد. در واقع، در سال ۹۶ می‌شد با پرداخت ۵۰ میلیون تومان برای یک سال چوب کارگاه را تامین کرد اما امروز با ۲.۵ میلیارد تومان هم نمی‌شود چوب مورد نیاز را تامین کرد.
لطیف‌زاده ادامه داد: الان نوع درجه ۳ چوب‌های وارداتی هر متر مکعب ۳۵ میلیون تا ۳۶ میلیون تومان است و نوع درجه یک آن از متری ۴۰ میلیون تا بالای ۵۰ میلیون تومان است. در این میان، چوب‌های خاص هم در بازار وجود دارد که اصالتا برای جنگل‌های آفریقاست اما در ایران به اسم چوب آمریکا و کانادا هر متر مکعب آن را بالای ۱۰۰ میلیون تومان می‌فروشند."
economy,"به گزارش همشهری آنلاین، سامانه یکپارچه خودروهای وارداتی از فردا ۱۶ بهمن برای ثبت‌نام کلیه متقاضیان واجد شرایط، بازگشایی خواهد شد؛ نکته این مرحله این است که با توجه اینکه پیش‌شرط حساب وکالتی برداشته شده بود، اما در این مرحله متقاضیان جدید باید این حساب را باز کنند که به گفته مدیر سامانه این مورد فقط برای خرید خودروهای داخلی اجرایی می‌شود.
با توجه به اینکه خودروها مازاد بر ظرفیت تقاضا هستند و به طور دقیق‌تر می‌توان گفت خودروهایی که طی حدوداً ۱۰- ۹ مرحله عرضه قبلی برای ثبت‌نام‌کنندگان مرحله اول (در اسفند ماه سال گذشته)، متقاضی زیادی نداشته و ظرفیت آن‌ها موجود است، تصمیم گرفته شد که مرحله دوم ثبت‌نام برای متقاضان جدید با عرضه ۱۱ خودروی وارداتی توسط ۱۱ شرکت واردکننده اجرایی شود.
بدین منظور متقاضیان جدید از یک روز قبل از آغار عرضه از امروز یکشنبه این امکان برایشان فراهم شده که یکی از حساب خود را نزد بانک‌های واجد شریط اعلامی سامانه یکپارچه عرضه خودروهای وارداتی، وکالتی و مبلغ ۵۰۰ میلیون تومان را در آن بلوکه کنند تا امکان ثبت‌نام طی پنج روزی که سامانه برای ثبت‌نام مشتریان فعال است، امکان ثبت تنها یک اولویت از سبد محصولات اعلامی را انتخاب کنند.
همانطور که اشاره شد، متقاضیان جدید از امروز تا ساعت ۱۳ روز چهارشنبه (۱۸ بهمن ماه) برای تعریف حساب وکالتی و مسدود کردن وجه ۵۰۰ میلیون تومانی در این حساب فرصت خواهند داشت.
ثبت‌نام خودروهای وارداتی برای متقاضیان جدید از ١٦ بهمن + جزئیات | از فردا حساب خود را وکالتی کنید
اوایل آذر ماه بود که موضوع برداشته شدن پیش‌شرط تعریف حساب وکالتی برای ثبت‌نام خودروها اعم از داخلی و وارداتی، مطرح شد.
در آن مقطع زمانی، مدیر سامانه یکپارچه خودروها ضمن تاکید بر تداوم فروش خودروهای وارداتی به متقاضیان مرحله اول که هنوز در نوبت تخصیص خودروی مورد نظرشان قرار نگرفته‌اند، از آغاز فروش خودروهای وارداتی از محل مازاد به متقاضیان جدید خبر داد و تاکید کرد: شرایط ثبت‌ نام همچون سابق است اما دیگر نیازی به بلوکه‌کردن وجه در حساب وکالتی وجود ندارد.
این وعده عرضه خودرو از محل مازاد به متقاضیان جدید در حالی که حدوداً قرار بوده است از اواخر آذر ماه اجرایی شود، با گذشت قریب به دو ماه، اکنون اجرایی شده است. ضمن اینکه علیرغم اینکه تاکید شده بود دیگر حسابی ضرورت ندارد وکالتی و وجهی در آن مسدود شود، اما این پیش شرط مجدد اعمال می‌شود.
مهدی تقدسی، مدیرسامانه یکپارچه خودروهای وارداتی در این زمینه گفت: بسته به شرایط، حذف این پیش شرط، فقط برای خرید خودروهای داخلی فعلا اجرایی می‌شود و برای ثبت‌نام خودروهای وارداتی لازم‌الاجراست."
economy,"به گزارش همشهری آنلاین، قیمت خودرو، امروز، یک‌شنبه، ۱۵ بهمن ۱۴۰۲، امروز پرنوسان گزارش می‌شود. طوری که تعدادی از محصولات روند صعودی و برخی از آن‌ها شیب نزولی را در پیش گرفته‌اند. در این میان تارا اتوماتیک با رشد ۷ درصدی رکورددار افزایش قیمت در ۲۴ ساعت گذشته شناخته می‌شود.
با این حال بسیاری از خودروهای داخلی نسبت به روز گذشته یا تغییری نداشتند یا روند رو به رشد خود ادامه دادند.
به نظر می‌رسد کاهش نسبی قیمت دلار که از روز گذشته آغاز شد، بلافاصله در بازار خودرو تخلیه شده و قیمت محصولات مختلف همچون سنوات گذشته بیش از هر متغیری از بازار ارز پیروی کرده‌اند. با این حال هنوز بازار در شرایط انتظاری به سر می‌برد و کم‌اهمیت‌ترین اخبار هم تأثیر خود را روی آن می‌گذارند.
قیمت خودرو در بازار داخلی
بررسی نمونه محصولات داخلی نشان می‌دهد که به‌رغم کاهش نرخ ارز، این خودروها همچنان در قبال کاهش قیمت از خود مقاومت نشان می‌دهند و به جز سه محصول، سایر آن‌ها یا تغییری نسبت به روز گذشته نداشته‌اند یا به صعود روزهای پیش خود ادامه داده‌اند.
در بین خودروهای مورد بررسی، تارا اتوماتیک V۴ تولید سال رشد هفت درصدی را تجربه کرده تا رکورددار افزایش قیمت در بازار خودرو باشد.
تارا دنده‌ای نیز در بازار امروز حدود ۱.۵ درصد رشد کرد تا از مدل اتومات خود چندان عقب نماند. پژو ۲۰۷ اتومات هم ۱.۷ درصد افزایش نرخ را بر جای گذاشت تا بازار محصولات رده‌بالای ایران خودرو در روز جاری سکه باشد.
شرایط پیش فروش دنا پلاس اتوماتیک ویژه این گروه از متقاضیان اعلام شد | جزئیات، قیمت و زمان تحویل
با این حال پژو ۲۰۷ دنده‌ای پانوراما به همراه انواع پژو پارس کاهش قیمت را به ثبت رساند تا محصولات آبی‌های جاده مخصوص هم از ریزش نسبی بازار ارز در امان نباشند.
در بین محصولات سایپا نیز تنها پراید وانت افت قیمت دارد و سایر محصولات بدون هیچ‌گونه تغییری نسبت به روز گذشته معامله می‌شوند.
جدول پایین جزئیات قیمت خودرو در بازار محصولات داخلی را طی امروز، ۱۵ بهمن ۱۴۰۲، نشان می‌دهد.
قیمت خودروهای مونتاژی در بازار
به نظر می‌رسد قیمت خودروهای مونتاژی بیش از بازار محصولات داخلی تحت تأثیر بازار ارز بوده‌اند. چراکه در بین محصولات مورد بررسی، تنها دو خودروی ام. وی. ام X۵۵ ساده و اسپرت روند صعودی داشته‌اند. X۲۲ دنده‌ای اسپرت لاکچری، دیگر محصول مدیران خودرو بیش از هر محصول دیگری افت قیمت را تجربه کرد تا به ۸۰۰ میلیون تومان نزدیک شود.
به گزارش تجارت نیوز، امروز بازار محصولات کرمان موتور بیش از سایر خودروهای مونتاژی کساد است و هر سه مدل مورد بررسی آن مسیر نزولی را طی می‌کنند.
سایر خودروهای مونتاژی تغییری نسبت به روز قبل ندارند. جزئیات قیمت خودروهای مونتاژی در جدول زیر آمده‌اند.
پیش بینی قیمت خودرو
گرچه قیمت خودرو پس از چند هفته، سرانجام امروز در برخی از مدل‌ها روند کاهشی را به خود دید، اما همچنان چشم‌انتظاری بازار ارز در بخش خودرو هم به چشم می‌خورد. چنانکه بسیاری از فروشندگان به دلیل نوسانات شدید ارزی حاضر به پایین‌آوردن نرخ دارایی خود نیستند.
از سوی دیگر، افت اندک قیمت دلار در روز گذشته، بار دیگر خریداران را برای کاهش قیمت خودرو امیدوار کرد.
با این حال بدقولی وزارت صمت در واردات خودرو نیز متغیر مؤثر دیگری شناخته می‌شود که اجازه نمی‌دهد بازار خودرو از حالت رکودزده خود خارج شود."
economy,"به گزارش همشهری آنلاین، هر کیلو گرم پنیر لیقوان (چرب) در میادین میوه و تره بار ۱۷۷ هزار و ۹۰۰ تومان و پنیر تبریز ممتاز (چرب) ۱۶۶ هزار و ۹۰۰ تومان به فروش می‌رساند.
فرآورده‌های لبنی یکی از تأمین کننده‌های کالری بدن است. یکی از منابع مهم کلسیم انواع محصولات لبنی بوده که در کنار آن چربی مورد نیاز روزانه را تأمین می‌کند. شیر، پنیر، خامه، کره، ماست و دوغ از فرآورده‌های لبنی بوده که مصرف روزانه آن ضروری است.
در حال حاضر هر بسته پنیر یو اف ۴۰۰ گرمی که با کالابرگ الکترونیک هم قابل تهیه است ۴۴ هزار و ۴۰۰ تومان به فروش می‌رسد.
اما برخی افراد خریدار محصولات سنتی هستند. هر کیلو گرم پنیر لیقوان (چرب) در میادین میوه و تره بار ۱۷۷ هزار و ۹۰۰ تومان به فروش می‌رساند. همچنین پنیر تبریز ممتاز (چرب) ۱۶۶ هزار و ۹۰۰ تومان، پنیر توفو (سویا) ۱۳۳ هزار تومان، پنیر تبریز درجه یک و کم چرب ۱۴۹ هزار و ۹۰۰ تومان، پنیر سفید پاستوریزه ایرانی یوآف فراپالایش (اولترافیلتراسیون) ۷۵ هزار و ۹۰۰ تومان و پنیر لاکتیکی پاستوریزه (تهیه شده از شیرگاو) ۱۰۵ هزار و ۹۰۰ تومان در مراکز خرید سازمان میادین و تره بار در حال فروش است.
جدیدترین قیمت گوشت گوسفندی در بازار | گردن گوسفندی کیلویی چند شد؟"
economy,https://www.hamshahrionline.ir/page/archive.xhtml?wide=0&ms=0&pi=9&tp=10 error
