Class,Text
sport,"به گزارش همشهری آنلاین، «ماموریت ما تمام نشده و باید در ۲ بازی پیش رو برنده شویم»، این جمله کلیدی مارکس لوپز، سرمربی اسپانیایی تیم ملی قطر بعد از پیروزی مقابل ازبکستان و رقیب شدن با ایران در نیمه نهایی جام ملت های آسیا است.
قطر در ۲۴ بازی مقابل ایران تنها ۳ پیروزی کسب کرده و در ۱۶ بازی به یوزها باخته و ۵ بازی هم میان دو تیم با نتیجه تساوی به پایان رسیده است.
سرمربی مدافع عنوان قهرمانی می گوید که بازی بزرگی مقابل ایران پیش رو دارند ولی «ماموریت آنها هنوز به پایان نرسیده» و می خواهند با قدرت به جلو پیش بروند.
لوپز معتقد است که «ایران تیمی قدرتمند» است و بازیکنان خوبی دارد ولی قطر مدافع عنوان قهرمانی است و «می خواهد این تیم را بار دیگر قهرمان آسیا ببنید»."
sport,"به گزارش همشهری آنلاین، تیم ملی فوتبال ایران در مرحله یک چهارم نهایی جام ملت‌های آسیا موفق شد با نتیجه ۲ بر یک ژاپن را شکست دهد و به مرحله نیمه نهایی راه پیدا کند.
پس از این دیدار «واتارو اندو» کاپیتان تیم ملی فوتبال ژاپن با انتشار پستی در صفحه شخصی خود در شبکه اجتماعی ایکس (توئیتر سابق) به شکست تیمش واکنش نشان داد و نوشت: این تورنمنت به من فهماند که شماره یک بودن در چیزی ساده نیست. فکر می‌کنم کیفیت بازیکنان ایرانی و فضایی که هواداران این تیم در ورزشگاه ایجاد کرده بودند باعث شده بود این تیم شایستگی پیروزی را داشته باشد.
وی در خصوص پیروزی تیم ملی ایران نوشت: به عنوان کاپیتان تیم به این فکر می‌کنم که چه کاری می‌توانیم انجام دهیم تا تیم ملی ژاپن به تیمی قدرتمند تر تبدیل شود.
وی خطاب به هواداران ژاپنی نوشت: هواداران عزیز، برای رسیدن به هدف بزرگ خود یعنی قهرمانی در جام جهانی به مبارزه ادامه دهید! از حمایت مداوم شما از تیم ملی فوتبال ژاپن سپاسگزاریم."
sport,"به گزارش همشهری آنلاین پس از اینکه کنفدراسیون فوتبال آسیا مهدی طارمی را به دلیل دریافت کارت قرمز در دیدار با سوریه مبلغ ۲ هزار دلار جریمه کرده بود این کنفدراسیون باز هم احکام جدیدی را علیه این بازیکن و همچنین فدراسیون فوتبال ایران صادر کرده است. این احکام به اتفاقات دیدار ایران و سوریه مرتبط است.
طبق اعلام کمیته انضباطی و اخلاق کنفدراسیون فوتبال آسیا، مهدی طارمی به دلیل نقض ماده ۱۳.۱، ماده ۱۴.۵.۱ و پیوست ۸ آئین نامه انضباطی کنفدراسیون فوتبال آسیا به پرداخت مبلغ ۵ هزار دلار جریمه شده است. این مبلغ باید ظرف مدت ۳۰ روز از زمان اعلام آن پرداخت شود. در صورتی که این تخلف تکرار شود مهدی طارمی با جرایم سنگین‌تری مواجه خواهد شد. این جریمه به دلیل ورود مهدی طارمی به زمین بازی پس از سوت پایان بازی با سوریه صورت گرفته است.
علاوه بر این، فدراسیون فوتبال ایران به دلیل نقض ماده ۵۳.۱ آئین نامه انضباطی کنفدراسیون فوتبال آسیا به پرداخت مبلغ ۴ هزار و ۲۰۰ دلار جریمه شد. این حکم به دلیل جریمه انضباطی ۶ نفر از اعضای مرتبط با فدراسیون فوتبال ایران توسط داور دیدار ایران و سوریه صورت گرفته است."
sport,https://www.hamshahrionline.ir/page/archive.xhtml?wide=0&ms=0&pi=2&tp=9 error
sport,https://www.hamshahrionline.ir/page/archive.xhtml?wide=0&ms=0&pi=8&tp=9 error
sport,"به گزارش همشهری آنلاین، امیر قلعه نویی پس از برد تیم ایران و صعود به مرحله نیمه نهایی جام ملت‌ها، نکته مهمی را به بازیکنان یادآور شد.
سرمربی تیم ملی فوتبال دقایقی پس از پیروزی تیم ملی برابر ژاپن، ضمن قدردانی از بازیکنان تیم ملی خطاب به آن‌ها گفت: از شما به عنوان یک برادر یک خواهش بزرگ دارم. امروز این برد را تمام کنید. برادرانه گوش کنید. یک بازی است که باید ۱۰ سال کیف کنید. این بازی بود ولی باید امتداد داشته باشد. خدای ناکرده اگر در باد این بازی باشیم، ۲ بازی بعد را از دست می‌دهیم.
وی افزود: بازی با ژاپن را فراموش کنید، اکنون نوبت فینال بعدی است. فقط تا امروز فرصت شادی دارید و باید فکر خود را بر روی بازی نیمه نهایی متمرکز کنید.
با این فرمان سرمربی تیم ملی، ظهر امروز تمرین تیم ملی برگزار شد. بازیکنان تیم ملی همچون تمرینات گذشته پس از بازی‌های قبلی تیم ملی به ۲ گروه تقسیم شدند. بازیکنان حاضر در بازی دیروز به تمرین ریکاوری پرداختند و سایر بازیکنان با حضور در زمین چمن کمپ تمرینی الریان برای دیدار برابر قطر به تمرین پرداختند."
sport,"به گزارش همشهری آنلاین، تیم ملی فوتبال ایران موفق شد در رقابت‌های جام ملت‌های آسیا به جمع ۴ تیم پایانی این مسابقات راه پیدا کند. تیم ملی در مرحله نیمه نهایی روز چهارشنبه هفته جاری به مصاف قطر خواهد رفت و ۲۴ ساعت بعد از این بازی، مسابقات جام حذفی در لیگ فوتبال ایران برگزار خواهد شد و استقلال در رفسنجان به دیدار مس این شهر خواهد رفت.
با توجه به اینکه استقلال ۲ بازیکن ملی پوش دارد مسئولان این باشگاه دوباره با ارسال نامه‌ای به سازمان لیگ خواستار تعویق این بازی شدند. درخواست قبلی باشگاه استقلال مورد قبول فدراسیون فوتبال قرار نگرفته بود.
استقلال دو مهره تاثیرگذار خود به نام‌های حسین حسینی و رزوبه چشمی را در تیم ملی دارد و به همین دلیل خواستار تعویق بازی مقابل مس رفسنجان شده است."
sport,"به گزارش همشهری آنلاین جام ملت‌های آسیای ۲۰۲۳ کم‌کم به روزهای پایانی و حساسش نزدیک می‌شود. چهره دو فینالیست این دوره از رقابت‌ها روزهای سه‌شنبه و چهارشنبه مشخص خواهد شد تا در نهایت روز شنبه با برگزاری دیدار نهایی در ورزشگاه لوسیل، قهرمان این دوره از رقابت‌ها مشخص شود.
مطابق دوره‌های قبل در این دوره نیز کنفدراسیون فوتبال آسیا جوایز و پاداشی را برای تیم‌های برتر مشخص کرده است. بر این اساس مجموع جوایز این تورنمنت ۱۴ میلیون و ۸۰۰ هزار دلار آمریکاست که بین تیم‌ها توزیع می‌شود.
تمام ۲۴ تیم حاضر در این رقابت‌ها ۲۰۰ هزار دلار در ابتدا دریافت کردند تا برای حضور در این رقابت‌ها آماده شوند و تیم ملی ایران نیز یکی از این تیم‌ها بود که توانست به عنوان سرگروه از گروه C صعود کند و در ادامه با برتری برابر سوریه (در ضربات پنالتی) و ژاپن به جمع چهار تیم پایانی برسد.
تیم‌هایی که در دیدار نیمه نهایی شکست بخورند و نتوانند به فینال برسند، مبلغ یک میلیون دلار دریافت خواهند کرد. این اتفاقی بود که چهار سال قبل برای ایران در سال ۲۰۱۹ رخ داد و با توجه به اینکه دیدار رده بندی نیز وجود ندارد، تیم ملی ایران با شکست در آن دیدار به خانه برگشت.
مهم‌ترین جوایز و پاداش این دوره به دو تیم راه‌یافته به دیدار نهایی تعلق دارد. بر این اساس قهرمان جام ملت‌های آسیای ۲۰۲۳ مبلغ پنج میلیون دلار و نایب‌قهرمان سه میلیون دلار را به دست خواهند آورد.
از بین چهار تیم حاضر در نیمه‌نهایی این دوره از رقابت‌ها، دو تیم ملی ایران و قطر در دوره قبل نیز توانستند به جمع چهار تیم برتر راه یابند و دو تیم ملی اردن و کره جنوبی دو تیمی بودند که توانستند در این دوره به جمع چهار تیم پایانی برسند."
sport,"به گزارش همشهری آنلاین لیث نوبری، بازیکن سابق پرسپولیس از عصام الحضری اسطوره فوتبال مصر بعد از پیروزی تاریخی ایران مقابل ژاپن «انتقام» گرفت.
تیم ملی فوتبال کشورمان روز گذشته در یک بازی تاریخی موفق شد برای اولین بار در تاریخ مسابقات جام ملت های آسیا ژاپن را با نتیجه 2 بر یک شکست دهد و راهی نیمه نهایی شود.
الحضری قبل از بازی شاگردان قلعه نویی با سامورایی ها با نوبری کری خوانده بود و گفته بود: ""ژاپن به راحتی ایران را شکست می دهد""! نوبری در برنامه زنده شبکه الکاس با اسطوره مصری شرط گذاشت که در صورت پیروزی ایران الحضری باید مقابل دیدگان همه به احترام ایران چندین حرکت شنا برود.
0 seconds of 2 minutes, 19 seconds
شب گذشته در برنامه زنده شبکه الکاس، بازیکن سابق پرسپولیس از اسطوره فوتبال مصر انتقام گرفت و او را مجبور کرد که در برنامه زنده مقابل دوربین به احترام شاگردان قلعه نویی حرکت شنا برود. در زیر می توانید حرکت دروازه بان سابق مصر مقابل لیث نوبری و جشن این کارشناس فوتبال ایرانی با پرچم سه رنگ کشورمان را تماشا کنید."
sport,"به گزارش همشهری آنلاین مهدی طارمی از اسطوره های فوتبال ایران دعوت کرد به قطر، سفر کنند و تماشاگر بازی های پایانی تیم ملی باشند.
مهدی طارمی در بخشی از گفتگو خود پس از بازی با ژاپن، از اسطوره های فوتبال ایران خواست تا تیم ملی را حمایت کنند و برای تماشا بازی های پایانی، به قطر بیایند. مهدی طارمی گفت:
حضور اسطوره ها برای بچه های تیم ملی قوت قلبی است. جدا کردن نسل ها را درک نمی کنم. این حرف تمام بچه ها است که وجود آنها به ما کمک می کند. از علی دایی، مهدی مهدوی کیا، کریم باقری، فرهاد مجیدی و... دعوت می کنم به قطر بیایند و بازی ها ما را از نزدیک تماشا کنند. آغوش ما برای اسطوره ها باز است و البته اگر کسی هم نمی تواند یا دوست ندارد بیاید، برای ما دعا کند."
