Class,Text
economy,"هواپیمای هما که صبح امروز تهران را به سمت سقز ترک کرده بود، به‌دلیل نقص فنی به مهرآباد بازگشت.
به گزارش ایسنا پرواز ۳۴۰۵ ایران‌ایر امروز در ساعت ۱۱ و ۳۵  دقیقه فرودگاه مهرآباد را به مقصد فرودگاه سقز ترک کرد. این پرواز بعد گذشت دقایقی از پرواز، به دلیل بروز مشکل فنی در ساعت ۱۲ و ۳۲ دقیقه به فرودگاه مهرآباد برگشت.
در این خصوص روابط عمومی هواپیمایی جمهوری اسلامی ایران به ایسنا اعلام کرد: هواپیما بعد از فرود ایمن مهرآباد جهت بررسی‌های بیشتر به آشیانه منتقل شده و باند فرودگاه مسدود نشده است. با توجه به محدودیت عملیاتی فرودگاه سقز  برای پرواز شبانه، امکان پرواز برای ساعات آینده مقدور نبوده و پرواز لغو فوق شده است.
در این اطلاعیه آمده است: رعایت ایمنی پرواز در همه حال اولویت اصلی هواپیمایی جمهوری اسلامی ایران «هما» در انجام پروازها بوده و شایسته است اصحاب رسانه  قبل از انتشار خبری از صحت آن یقین حاصل کرده سپس نسبت به منتشر کردن  آن اقدام کنند.
انتهای پیام"
economy,"هواپیمای هما که صبح امروز تهران را به سمت سقز ترک کرده بود، به‌دلیل نقص فنی به مهرآباد بازگشت.
به گزارش ایسنا پرواز ۳۴۰۵ ایران‌ایر امروز در ساعت ۱۱ و ۳۵  دقیقه فرودگاه مهرآباد را به مقصد فرودگاه سقز ترک کرد. این پرواز بعد گذشت دقایقی از پرواز، به دلیل بروز مشکل فنی در ساعت ۱۲ و ۳۲ دقیقه به فرودگاه مهرآباد برگشت.
در این خصوص روابط عمومی هواپیمایی جمهوری اسلامی ایران به ایسنا اعلام کرد: هواپیما بعد از فرود ایمن مهرآباد جهت بررسی‌های بیشتر به آشیانه منتقل شده و باند فرودگاه مسدود نشده است. با توجه به محدودیت عملیاتی فرودگاه سقز  برای پرواز شبانه، امکان پرواز برای ساعات آینده مقدور نبوده و پرواز لغو فوق شده است.
در این اطلاعیه آمده است: رعایت ایمنی پرواز در همه حال اولویت اصلی هواپیمایی جمهوری اسلامی ایران «هما» در انجام پروازها بوده و شایسته است اصحاب رسانه  قبل از انتشار خبری از صحت آن یقین حاصل کرده سپس نسبت به منتشر کردن  آن اقدام کنند.
انتهای پیام"
economy,"هواپیمای هما که صبح امروز تهران را به سمت سقز ترک کرده بود، به‌دلیل نقص فنی به مهرآباد بازگشت.
به گزارش ایسنا پرواز ۳۴۰۵ ایران‌ایر امروز در ساعت ۱۱ و ۳۵  دقیقه فرودگاه مهرآباد را به مقصد فرودگاه سقز ترک کرد. این پرواز بعد گذشت دقایقی از پرواز، به دلیل بروز مشکل فنی در ساعت ۱۲ و ۳۲ دقیقه به فرودگاه مهرآباد برگشت.
در این خصوص روابط عمومی هواپیمایی جمهوری اسلامی ایران به ایسنا اعلام کرد: هواپیما بعد از فرود ایمن مهرآباد جهت بررسی‌های بیشتر به آشیانه منتقل شده و باند فرودگاه مسدود نشده است. با توجه به محدودیت عملیاتی فرودگاه سقز  برای پرواز شبانه، امکان پرواز برای ساعات آینده مقدور نبوده و پرواز لغو فوق شده است.
در این اطلاعیه آمده است: رعایت ایمنی پرواز در همه حال اولویت اصلی هواپیمایی جمهوری اسلامی ایران «هما» در انجام پروازها بوده و شایسته است اصحاب رسانه  قبل از انتشار خبری از صحت آن یقین حاصل کرده سپس نسبت به منتشر کردن  آن اقدام کنند.
انتهای پیام"
economy,"ایسنا/خوزستان طی حکمی از سوی مدیرعامل شرکت مهندسی آب و فاضلاب کشور، مدیرعامل جدید آبفای خوزستان منصوب شد.
با حکمی از سوی مدیرعامل شرکت مهندسی آب و فاضلاب کشور، صابر علیدادی به عنوان مدیرعامل جدید این شرکت منصوب شد.
از سوابق علیدادی می‌توان به معاونت آبرسانی سازمان آب و برق خوزستان اشاره کرد.
پیش از این و از خردادماه ۱۴۰۰، محمدرضا کرمی نژاد مدیرعامل شرکت آبفای خوزستان بوده است.
انتهای پیام"
economy,"ایسنا/خوزستان طی حکمی از سوی مدیرعامل شرکت مهندسی آب و فاضلاب کشور، مدیرعامل جدید آبفای خوزستان منصوب شد.
با حکمی از سوی مدیرعامل شرکت مهندسی آب و فاضلاب کشور، صابر علیدادی به عنوان مدیرعامل جدید این شرکت منصوب شد.
از سوابق علیدادی می‌توان به معاونت آبرسانی سازمان آب و برق خوزستان اشاره کرد.
پیش از این و از خردادماه ۱۴۰۰، محمدرضا کرمی نژاد مدیرعامل شرکت آبفای خوزستان بوده است.
انتهای پیام"
economy,"ایسنا/خوزستان طی حکمی از سوی مدیرعامل شرکت مهندسی آب و فاضلاب کشور، مدیرعامل جدید آبفای خوزستان منصوب شد.
با حکمی از سوی مدیرعامل شرکت مهندسی آب و فاضلاب کشور، صابر علیدادی به عنوان مدیرعامل جدید این شرکت منصوب شد.
از سوابق علیدادی می‌توان به معاونت آبرسانی سازمان آب و برق خوزستان اشاره کرد.
پیش از این و از خردادماه ۱۴۰۰، محمدرضا کرمی نژاد مدیرعامل شرکت آبفای خوزستان بوده است.
انتهای پیام"
economy,"یک شرکت معروف فعال در زمینه فرآورده‌های گوشتی در استان البرز بین سال‌های ۱۳۹۷ تا ۱۴۰۱ مبلغ ۵۰۰ میلیارد تومان فرار مالیاتی داشته است.
به گزارش ایسنا، اداره کل امور مالیاتی استان البرز از شناسایی یک فرار مالیاتی بزرگ به ارزش ۵۰۰  میلیارد تومان خبر داد.
در اعلامیه این اداره آمده است: با عنایت به گزارش مردمی واصله و بررسی‌های انجام شده درخصوص فرار مالیاتی یک شرکت معروف فعال در زمینه فرآورده‌های گوشتی، اداره کل یاد شده مورخ ۲۴/۰۸/۱۴۰۲ اقدام به اجرای بازرسی مالیاتی موضوع ماده ۱۸۱ قانون مالیات های مستقیم به‌همراه ضابط نیروی انتظامی از دو محل متعلق به شرکت می¬نماید.
با استفاده از مدارک به دست آمده و فایل‌های پشتیبان استخراج شده از نرم‌افزار مالی مورد استفاده شرکت، صورت‌های مالی واقعی به‌انضمام جزییات مربوطه بدست آمده که به تأیید شرکت نیز رسیده است.
نتایج حاصله  منجر به شناسایی فرار مالیاتی بالغ بر مبلغ ۵۰۰ میلیارد تومان، شامل اصل مالیات و جرایم سنوات ۱۳۹۷ لغایت ۱۴۰۱ گردید.
بر  اساس اعلام روابط عمومی سازمان امور مالیاتی، فاصله اجرا تا مرحله رسیدگی و مطالبه تنها ۳۸ روز به طول انجامیده است.
انتهای پیام"
economy,"یک شرکت معروف فعال در زمینه فرآورده‌های گوشتی در استان البرز بین سال‌های ۱۳۹۷ تا ۱۴۰۱ مبلغ ۵۰۰ میلیارد تومان فرار مالیاتی داشته است.
به گزارش ایسنا، اداره کل امور مالیاتی استان البرز از شناسایی یک فرار مالیاتی بزرگ به ارزش ۵۰۰  میلیارد تومان خبر داد.
در اعلامیه این اداره آمده است: با عنایت به گزارش مردمی واصله و بررسی‌های انجام شده درخصوص فرار مالیاتی یک شرکت معروف فعال در زمینه فرآورده‌های گوشتی، اداره کل یاد شده مورخ ۲۴/۰۸/۱۴۰۲ اقدام به اجرای بازرسی مالیاتی موضوع ماده ۱۸۱ قانون مالیات های مستقیم به‌همراه ضابط نیروی انتظامی از دو محل متعلق به شرکت می¬نماید.
با استفاده از مدارک به دست آمده و فایل‌های پشتیبان استخراج شده از نرم‌افزار مالی مورد استفاده شرکت، صورت‌های مالی واقعی به‌انضمام جزییات مربوطه بدست آمده که به تأیید شرکت نیز رسیده است.
نتایج حاصله  منجر به شناسایی فرار مالیاتی بالغ بر مبلغ ۵۰۰ میلیارد تومان، شامل اصل مالیات و جرایم سنوات ۱۳۹۷ لغایت ۱۴۰۱ گردید.
بر  اساس اعلام روابط عمومی سازمان امور مالیاتی، فاصله اجرا تا مرحله رسیدگی و مطالبه تنها ۳۸ روز به طول انجامیده است.
انتهای پیام"
economy,"یک شرکت معروف فعال در زمینه فرآورده‌های گوشتی در استان البرز بین سال‌های ۱۳۹۷ تا ۱۴۰۱ مبلغ ۵۰۰ میلیارد تومان فرار مالیاتی داشته است.
به گزارش ایسنا، اداره کل امور مالیاتی استان البرز از شناسایی یک فرار مالیاتی بزرگ به ارزش ۵۰۰  میلیارد تومان خبر داد.
در اعلامیه این اداره آمده است: با عنایت به گزارش مردمی واصله و بررسی‌های انجام شده درخصوص فرار مالیاتی یک شرکت معروف فعال در زمینه فرآورده‌های گوشتی، اداره کل یاد شده مورخ ۲۴/۰۸/۱۴۰۲ اقدام به اجرای بازرسی مالیاتی موضوع ماده ۱۸۱ قانون مالیات های مستقیم به‌همراه ضابط نیروی انتظامی از دو محل متعلق به شرکت می¬نماید.
با استفاده از مدارک به دست آمده و فایل‌های پشتیبان استخراج شده از نرم‌افزار مالی مورد استفاده شرکت، صورت‌های مالی واقعی به‌انضمام جزییات مربوطه بدست آمده که به تأیید شرکت نیز رسیده است.
نتایج حاصله  منجر به شناسایی فرار مالیاتی بالغ بر مبلغ ۵۰۰ میلیارد تومان، شامل اصل مالیات و جرایم سنوات ۱۳۹۷ لغایت ۱۴۰۱ گردید.
بر  اساس اعلام روابط عمومی سازمان امور مالیاتی، فاصله اجرا تا مرحله رسیدگی و مطالبه تنها ۳۸ روز به طول انجامیده است.
انتهای پیام"
economy,"ایسنا/سمنان مدیرعامل بیمه ایران از پرداخت بیش از ۳۰ همت خسارت به بیمه‌شدگان بیمه ایران در سال‌جاری خبر داد و گفت: بیمه ایران بیشترین سهم را در بیسن شرکت‌های بیمه‌ای در کشور دارد.
حسن شریفی در حاشیه سفر به سمنان در جمع تعدادی از فعالان اقتصادی و اصحاب رسانه در اتاق بازرگانی سمنان با اعلام این خبر اظهار کرد: بیمه ایران در سال ۱۴۰۲ به طور متوسط روزانه ۱۰۵ میلیارد تومان خسارت به بیمه شدگان خود پرداخت کرده است.
وی با بیان اینکه ۳۸ شرکت بیمه ای فعال در سطح کشور وجود دارد افزود: به طور میانگین مجموعه شرکت های بیمه‌ای به طور روزانه بیش از ۴۰۰ میلیارد تومان به بیمه شدگان خود پرداخت می‌کنند. بیش از ۱۰۵ میلیارد تومان از این پرداختی روزانه به تنهایی مربوط به بیمه ایران و ۳۰۰ میلیارد تومان نیز مربوط به ۳۷ شرکت بیمه ای دیگر در سطح کشور است.
مدیرعامل بیمه ایران از این بیمه به عنوان تنها شرکت بیمه دولتی در کشور نام برد و گفت: مهمترین هنر ما بیمه‌ای‌ها، عمل به تعهدات است و بیمه ایران کوشیده به طور کامل به تعهدات خود عمل کند.
وی با بیان اینکه شرکت های بیمه‌ای باید در زمان پرداخت خسارت‌ها در کنار بیمه‌شدگان باشند افزود: ما در بیمه ایران بر این مهم اصرار و پافشاری داریم . سیاست بیمه ایران این بوده که در زمان پرداخت خسارت‌ها ، مشتری‌مداری کرده و به طور کامل در کنار بیمه شدگان باشد.
شریفی با بیان اینکه در دو سال گذشته کوشیدیم که نگاه خود به بیمه شدگان را درست و ضعف‌ها را برطرف کنیم ادامه داد: تلاش ما در بیمه ایران این بوده که به یک مدل فکری درست برسیم تا به همه تعهدات خود در قبال بیمه‌شده‌ها عمل کنیم.
وی با بیان اینکه در همین راستا سامانه های متعددی در بیمه ایران طراحی شده اضافه کرد: هنر ما باید این باشد که با پرداخت به موقع خسارت‌ها به بیمه شدگان کمک کنیم.
شریفی انتظار بیمه‌شدگان در خصوص سرعت عمل در پرداخت خسارت‌ها را یک انتظار به‌حق دانست و گفت: متاسفانه برخی شرکت‌های بیمه‌ای به وظیفه خود در این بخش، خوب عمل نمی‌کنند و لذا باید رصد درستی در خصوص همه شرکت های بیمه‌ای صورت گیرد و از طریق شورای عالی بیمه‌ها و یا دیگر دستگاه های نظارتی به مردم گزارش داده شود که کدام شرکت ها به وظایف خود به درستی عمل می کنند و کدام شرکت‌ها، عملکرد درستی در این بخش ندارند.
مدیرعامل بیمه ایران با اشاره به حادثه امسال در معدن البرز شرقی در استان سمنان که منجر به چندین معدنکار دامغانی شد گفت: همکاران ما در بیمه ایران در همان روز حادثه در محل حضور یافتند و ضمن همدردی با خانواده آسیب‌دیدگان، تلاش کردیم که به سرعت مشکل بیمه شدگان را مرتفع کنیم.
وی ادامه داد: بیمه شدگان به طور مداوم حق بیمه ای خود را پرداخت می کنند و ما شرکت‌های بیمه‌ای وظیفه داریم که در زمان حوادث با حضور به موقع، خسارت آنها را جبران کنیم.
شریفی بر تسریع در پرداخت خسارت ها تاکید و خاطرنشان کرد: بیمه ایران از نظر مالی هیچ مشکلی ندارد و همکاران ما در سراسر کشور وظیفه دارند که با پرداخت به موقع خسارت ها ، امنیت خاطری را برای بیمه شدگان فراهم کنند.
وی ادامه داد: اگر قرار است که شرکت های بیمه‌ای برای مخاطبان خود یک امنیت خاطر به وجود بیاورند باید با تسریع در پرداخت خسارت‌ها، بیمه شدگان را در زمان حوادث یاری کنند.
مدیرعامل بیمه ایران به برخی اقدامات بیمه ایران در این حوزه پرداخت و اظهار کرد: ما از نمایندگان خود در استان‌ها خواستیم در زمان بروز حوادث و یا در زمان خسارت های عمده بیشترین همراهی را با بیمه شدگان داشته و حداقل ۵۰ درصد از خسارت ها را در همان روزهای نخست به صورت علی‌الحساب در اختیار بیمه شدگان قرار دهند. در ماجرای حوادث معادن در استان سمنان نیز همین رویه اجرایی شد.
شریفی با بیان اینکه در پرداخت خسارت های درمانی، سرعت عمل را در بیمه ایران افزایش دادیم اضافه کرد: با سامانه‌هایی که ایجاد شده دیگر نیاز به مراجعه حضوری نیست و بیمه شده تصویر مدارک را از طریق گوشی خود بارگذاری می کند و همکاران ما به سرعت اسناد را بررسی و خسارت ها را پرداخت می‌کنیم.
مدیرعامل بیمه ایران با بیان اینکه خسارت های درمانی سه -چهار روزه در بیمه ایران پرداخت می شود خاطرنشان کرد: در برخی موارد پرداخت خسارت های درمانی به کمتر از دو روز هم رسیده است.
وی با اشاره تاکید وزیر اقتصاد در خصوص تفویض اختیار به مدیریت شعب در استان‌ها گفت: دولت سیزدهم و خصوصا شرکت بیمه ایران در این دولت به دنبال چابک‌سازی بیشتر است و در همین راستا عمده اختیارات ستاد به مدیران استانی تفویض‌اختیار شده و از مدیران استان‌ها هم خواستیم تا حد امکان اختیارات را به نمایندگی‌ها تفویض اختیار کنند.
انتهای پیام"
