Class,Text
politics,"همایش سراسری کارگزاران گزینش کشور رئیس جمهور در سالن اجلاس سران برگزار شد.
به گزارش ایسنا، همایش سراسری کارگزاران گزینش کشور صبح امروز - دوشنبه ۱۸ دی - با حضور سیدابراهیم رئیسی رئیس جمهور در سالن اجلاس سران برگزار شد.
انتهای پیام"
politics,"ایسنا/قم سخنگوی شورای هماهنگی اصولگرایان قم از بررسی سوابق و برنامه‌های کاندیداهای انتخابات مجلس شورای اسلامی در سه مرحله برای حضور در لیست این شورا خبر داد.
حجت‌الاسلام دکتر ناطقی در گفت‌وگو با ایسنا با بیان اینکه سوابق و برنامه‌های کاندیداهای انتخابات مجلس در سه مرحله در این شورا بررسی می‌شود، گفت: در مرحله نخست سوابق نامزدها در جلسه‌ای با حضور اعضای شورای هماهنگی اصولگرایان قم که متشکل از نمایندگان ۲۹ حزب رسمی و مجموعه‌های مردم‌نهاد و معتمدین شهر است، بررسی می‌شود.
وی با بیان اینکه از کاندیداهایی که سوابق و برنامه‌های قابل توجهی دارند برای مصاحبه و گفتگوی حضوری دعوت به عمل می‌آید، یادآور شد: از بین این افراد نیز تعدادی که امتیازات بیشتری از شاخص‌های ۲۰گانه کسب کرده باشند دعوت می‌شود تا در مرحله سوم گزینش حاضر شوند.
سخنگوی شورای هماهنگی اصولگرایان قم با بیان اینکه در نهایت ۳ نفر به عنوان لیست پیشنهادی این شورا به مردم انقلابی و بصیر استان معرفی می‌شوند، خاطرنشان کرد: تاکنون حدود نیمی از داوطلبان که علاقه‌مند بودند در این لیست قرار بگیرند، برای مصاحبه حضوری به دفتر این شورا دعوت شده و برنامه‌های خود را ارائه کرده‌اند.
وی اشرافیت به اصل ولایت مطلقه فقیه و التزام عملی به آن، داشتن روحیه انقلابی  و کار جهادی، حسن شهرت و تدین و ساده زیستی و مردمی بودن، سوابق اجرایی و مدیریتی، اعتقاد به کار جمعی و تشکیلاتی، شناخت قوانین و مقررات و مناسبت‌های قوه مقننه، داشتن طرح و برنامه برای معضلات اقتصادی و فرهنگی، شناخت آسیب‌ها و ظرفیت‌های استان و اعتقاد به بیانیه گام دوم انقلاب را از جمله شاخص‌های مهمی یاد کرد که در بررسی سوابق و برنامه‌های کاندیداها به آن توجه می‌شود.
ناطقی در پایان حضور حداکثری مردم در انتخابات و انتخاب افراد اصلح را مهم ارزیابی و اظهار کرد: داوطلبان محترم می‌توانند حداکثر تا پایان روز ۲۱ دی‌ماه سوابق و برنامه‌های خود را به شورای هماهنگی اصولگرایان قم تحویل دهند تا پس از بررسی اولیه از آن‌ها جهت مصاحبه حضوری دعوت شود.
انتهای پیام "
politics,https://www.isna.ir/page/archive.xhtml?mn=10&wide=0&ty=1&dy=21&ms=0&pi=4&yr=1402&tp=14 error
politics,"عکس تزیینی است
ایسنا/سیستان و بلوچستان ساعتی پیش نیروهای امنیتی در محدوده شهرستان بمپور در جنوب سیستان و بلوچستان جهت دستگیری یک عامل گروهک‌های تروریستی اقدام به عملیات کردند.
یک منبع آگاه اعلام کرد: در پی این درگیری عامل گروهک‌های تروریستی که دست به اسلحه و منجر به درگیری شده بود، به هلاکت رسید.
به گزارش ایسنا، بمپور از شمال به بخش‌های حومه و بزمان شهرستان ایرانشهر، از مشرق به شهرستان سرباز و از جنوب به شهرستان نیک‌شهر و از مغرب به شهرستان کهنوج (در استان کرمان) محدود است.
انتهای پیام"
politics,"شورای وحدت اصولگرایان هیئتی سه‌نفره برای رایزنی با شورای نگهبان جهت ایجاد زمینه حضور حداکثری کاندیداها در انتخابات، تشکیل داد.
به گزارش ایسنا، در نشست هیئت عالی شورای وحدت اصولگرایان بعد از ارائه گزارش بررسی صلاحیت‌ها در جناح‌های مختلف سیاسی و اثرات آن بر مشارکت و تحقق منویات رهبری انقلاب و جایگاه جریان اصولگرایی در این زمینه و با توجه به گزارش‌های واصله درباره بررسی صلاحیت‌ها در حوزه‌های انتخابیه مقرر شد هیئتی سه‌نفره جهت رایزنی و مذاکره با شورای نگهبان تشکیل شود.
قرار است این هیئت سه‌نفره متشکل از منوچهر متکی، اسدالله بادامچیان و حجت الاسلام جلالی ضمن جمع‌بندی اطلاعات در موضوع ردصلاحیت‌ها، در تهران و استان‌ها، با شورای نگهبان رایزنی داشته باشند و با اخذ استدلال‌ها و ارائه مستندات لازم، زمینه حضور حداکثری کاندیداها و ارتقاء بسترهای لازم برای مشارکت سیاسی را فراهم کنند.
انتهای پیام"
politics,"داوطلبی رامین مهمانپرست از حوزه انتخابیه رشت و خمام در انتخابات دوازدهمین دوره مجلس شورای اسلامی به تائید شورای نگهبان رسید.
رامین مهمانپرست در گفت‌وگو با ایسنا از تائید صلاحیتش برای داوطلبی انتخابات دوازدهمین دوره مجلس شورای اسلامی از حوزه انتخابیه رشت و خمام به از سوی شورای نگهبان خبر داد.
سفیر جمهوی اسلامی ایران در کشورهای تایلند، قزاقستان، لهستان و لیتوانی و همچنین سخنگویی وزارت امور خارجه در کارنامه سوابق مهمانپرست دیده می‌شود.
انتهای پیام"
politics,"رئیس سازمان برنامه و بودجه از پرداخت مطالبات ۶۵ درصد از بازنشستگان با رقمی معادل ۲۲ هزار میلیارد تومان خبر داد.
به گزارش ایسنا در جلسه صبح امروز -چهارشنبه ۲۰ دی ۱۴۰۲- هیئت دولت رئیس سازمان برنامه و بودجه با اشاره به اقدامات دولت برای تسویه پاداش پایان خدمت جمعی از بازنشستگان، از پرداخت مطالبات ۶۵ درصد از بازنشستگان با رقمی معادل ۲۲ هزار میلیارد تومان خبر داد و گفت: حدود ۱۲ هزار میلیارد تومان دیگر از مطالبات باقیمانده نیز تا یکی دو هفته آتی پرداخت می‌شود.
منظور همچنین با اشاره به توضیحات دیروز وزیر بهداشت، درمان و آموزش پزشکی در مجلس درباره خدمات و اقدامات دولت مردمی در حوزه سلامت و درمان، با «بی‌نظیر توصیف کردن خدمات دولت مردمی در این حوزه» اظهار کرد: تاکنون بیش از سه و نیم میلیارد دلار ارز ۲۸ هزار و ۵۰۰ تومانی و ۲۹۵ هزار میلیارد تومان نیز به شکل ریالی به وزارت بهداشت تخصیص داده شده است و مجموع تخت‌های جدید بیمارستانی که تا پایان امسال به بهره‌برداری می‌رسند به هفت هزار تخت بالغ می‌شود و هزار خانه بهداشت جدید هم به بهره‌برداری خواهند رسید.
انتهای پیام"
politics,https://www.isna.ir/page/archive.xhtml?mn=10&wide=0&ty=1&dy=21&ms=0&pi=9&yr=1402&tp=14 error
politics,https://www.isna.ir/page/archive.xhtml?mn=10&wide=0&ty=1&dy=21&ms=0&pi=8&yr=1402&tp=14 error
politics,"در پی حادثه تروریستی چند روز گذشته در کرمان و شهادت نزدیک به ۹۰ نفر از هموطنان شرکت کننده در مراسم چهارمین سالگرد شهید سردار قاسم سلیمانی، مردم سراسر کشور امروز ۱۵ دی همزمان با تشییع و خاکسپاری شهدا در کرمان بعد از اقامه نماز جمعه با شرکت در راهپیمایی خشم و انزجار خود را از طراحان و عاملان این جنایت اعلام کردند.
راهپیمایی مردم تبریز در محکومیت جنایت تروریستی کرمان
نمازگزاران تبریزی پس از اقامه نماز جمعه با حضور در راهپیمایی، جنایت تروریستی در کرمان را محکوم کردند.
نمازگزاران تبریزی امروز، ۱۵ دی، پس از اقامه نماز جمعه از مقابل مصلی امام خمینی(ره) تا میدان ساعت با محکوم کردن جنایات تروریستی کرمان راهپیمایی کردند.
به گزارش ایسنا، مردم تبریز در این راهپیمایی با در دست داشتن تصاویری از امام خمینی (ره) و رهبر معظم انقلاب و سردار سلیمانی با مشت‌های گره کرده، فریاد الله اکبر، لا اله الا الله، مرگ بر آمریکا، مرگ بر اسرائیل، مرگ بر ضد ولایت فقیه را سر دادند.
هم‌چنین نمازگزاران با سر دادن شعارهای، "" مرگ بر آمریکا، مرگ بر صهیونیست، ایران دوباره غوغاست، هیهات من الذله، این‌بار نوبت ماست هیهات من الذله، این انقلاب پا برجاست، داعشی صهیونیست نابودیت نزدیک است"" جنایات تروریستی کرمان را محکوم کردند.
به گزارش ایسنا، در تمامی شهرستان‌های استان آذربایجان‌شرقی نیز راهپیمایی محکومیت این جنایت تروریستی برگزار شد.
برگزاری راهپیمایی محکومیت حادثه تروریستی زائران گلزار شهدای کرمان در ارومیه
راهپیمایی محکومیت حادثه تروریستی زائران گلزار شهدای کرمان امروز جمعه ۱۵ دی ماه در ارومیه برگزار شد.
مردم ولایتمدار ارومیه پس از اقامه نماز جمعه با حضور پرشور خود از مقابل مصلی امام خمینی شهر با سر دادن شعارهای""مرگ بر اسرائیل""، ""مرگ بر منافق""،""خونی که در رگ ماست هدیه به رهبر ماست""،""پر پر شدن در راه حاج قاسم، اوج عبادت ماست"" انزجار خود را از دشمنان اسلام و انقلاب اعلام کرده و با خانواده های شهدا ابراز همدردی کردند.
برگزاری راهپیمایی مردم البرز در محکومیت حادثه تروریستی کرمان
مردم استان البرز پس از نماز جمعه ۱۵ دی ماه در محکومیت حادثه‌ تروریستی کرمان راهپیمایی کردند.
به گزارش ایسنا، مردم در مرکز استان البرز، همزمان با سایر استان‌های کشور، پس از اقامه نماز جمعه با طی کردن مسیر مصلی کرج به سمت امام زاده حسن(ع) جنایت تروریستی کرمان را محکوم کردند.
در دیگر شهرستان‌های البرز هم راهپیمایی برگزار شد.
مردم چهارمحال و بختیاری جنایات استکبار جهانی در سالگرد شهید سلیمانی را محکوم کردند
مردم ولایتمدار چهارمحال و بختیاری پس از اقامه نماز جمعه با حضور در راهپیمایی، جنایت تروریستی در کرمان را محکوم کردند.
به گزارش ایسنا، مردم ولایتمدار و انقلابی چهارمحال و بختیاری امروز، ۱۵ دی، پس از اقامه نماز جمعه از مقابل مصلی امام خمینی(ره) شهرکرد تا چهارراه بوعلی سینا، با محکوم کردن جنایات تروریستی کرمان راهپیمایی کردند.
در این راهپیمایی مردم همراه با مدیران و مسئولین استان، در کنار نماینده ولی فقیه و استاندار چهارمحال و بختیرای، با در دست داشتن تصاویری از امام خمینی (ره) و رهبر معظم انقلاب و سردار سلیمانی با مشت‌های گره کرده، فریاد الله اکبر، لا اله الا الله، مرگ بر آمریکا، مرگ بر اسرائیل، مرگ بر ضد ولایت فقیه را سر دادند و جنایات تروریستی کرمان را محکوم کردند.
در تمامی شهرستان‌های چهارمحال و بختیاری نیز راهپیمایی محکومیت این جنایت تروریستی برگزار شد.
راهپیمایی مردم بجنورد در پی محکومیت انفجار تروریستی کرمان برگزار شد
مردم بجنورد امروز ۱۵ دی ماه بعد از پایان نماز جمعه با انجام راهپیمایی انفجار تروریستی کرمان را محکوم کردند.
در این راهپیمایی مردم با سردادن شعارهای مرگ بر آمریکا، مرگ بر اسرائیل، مرگ بر انگلیس، مرگ بر داعشی و تکفیری انزجار خود را از این اقدام تروریستی نشان دادند.
چه غزه چه کرمان جانم فدای ایران، کرمان شده کربلا مهدی بیا مهدی بیا از دیگر شعارهای بود که امروز در پی این اقدام تروریستی ناجوانمردانه توسط راهپیمایی کنندگان سر داده شد.
در پایان راهپیمایی نیز قطع نامه ای در محکومیت این اقدام خوانده شد.
حضور مردم بیرجند در راهپیمایی محکومیت حادثه تروریستی کرمان
در پایان نماز جمعه امروز ۱۵  دی در بیرجند نمازگزاران در محکومیت حادثه تروریستی کرمان تظاهرات کردند.
تجمع مردمی در محکومیت حادثه تروریستی کرمان در اهواز
مردم اهواز در محکومیت حادثه تروریستی کرمان، تجمع کردند و بار دیگر انزجار خود را نسبت به دشمنان جمهوری اسلامی ایران نشان دادند.
مردم همیشه در صحنه خوزستان و اهواز امروز (۱۵ دی ماه) بعد از اقامه نماز جمعه در واکنش به حادثه تروریستی اخیر در کرمان که منجر به شهادت تعدادی از هموطنان مان شد، تجمع کردند و انزجار خود را نسبت به این اقدام نشان دادند.
به گزارش ایسنا، مردم اهواز با تجمع در بلوار آیت الله بهبهانی شعارهای ""الله الله اکبر""، ""مرگ بر ضد ولایت فقیه""، ""حسین حسین شعار ماست شهادت افتخار ماست""، ""مرگ بر اسرییل"" و ""مرگ بر آمریکا"" سردادند.
مردم اهواز که با حضور پرشور در این تجمع همدری خود را با خانواده شهدا و مصدومان حادثه تروریستی کرمان اعلام کردند، با مشت های گره کرده خود نیز شعار ""لبیک یا خامنه ای"" سردادند.
راهپیمایی مردم زنجان در محکوم کردن حادثه تروریستی کرمان فردا برگزار می شود
راهپیمایی گرامی‌داشت شهدای حادثه تروریستی کرمان و دیدار با رئیس‌جمهور همزمان با سفر آیت‌الله رئیسی به استان زنجان برگزار می‌شود.
همزمان با سفر رئیس‌جمهور به استان زنجان راهپیمایی گرامی‌داشت شهدای حادثه تروریستی کرمان و دیدار با رئیس جمهور روز شنبه ۱۶ دی ماه برگزار می‌شود.
این مراسم ساعت ۹:۳۰ صبح از میدان قائم تا مصلی زنجان برگزار خواهد شد و زنجانی‌ها در این مراسم علاوه بر اعلام انزجار از حادثه تروریستی کرمان با رئیس‌جمهور دیدار خواهند داشت.
مردم قزوین حادثه تروریستی کرمان را محکوم کردند
قزوینی‌ها هم چند ساعت پس از حادثه تروریستی کرمان به صورت خودجوش به خیابان‌ آمدند و فریاد مرگ بر تروریست سر دادند، برخی در فضای مجازی واکنش نشان دادند و برخی با صدور بیانیه جنایت کرمان را محکوم کردند و امروز جمعه ۱۵ دی ماه پس از اقامه نماز جمعه راهپیمایی اعتراضی در محکومیت تروریسم و رژیم صهیونیستی در شهرهای مختلف استان قزوین برگزار شد.
راهپیمایی نمازگزاران سمنانی در محکومیت اقدامات تروریستی کرمان و غزه
نمازگزاران در شهرهای مختلف استان سمنان جنایت دشمنان در به شهادت رساندن زائران سردار سلیمانی و همچنین تداوم جنایات صهیونیست ها در غزه را محکوم کردند.
مراسم راهپیمایی مردم شهر سمنان در محکومیت حادثه تروریستی و شهادت جمعی از هموطنان و زائران مرقد شهید سلیمانی بعد از اقامه نمازجمعه در سمنان برگزار شد.
در این راهپیمایی که با حضور اقشار مختلف مردم و مسئولان برگزار شد، بر پاسخ قاطع به جنایتکاران و عوامل موثر در این جنایات تاکید شد.
همچنین نمازگزاران دیگر مناطق استان و از جمله در مراکز شهرستان های هشتگانه استان نیز با حضور در این راهپیمایی،بر لزوم تداوم راه شهدا تاکید شد.
این نمازگزاران بعد از اقامه نمازجمعه با حضور در راهپیمایی، جنایت آمریکا و اسرائیل در حمایت از تروریست ها و خصوصاً جنایت گلزار شهدای کرمان و ادامه کشتار در نوار غزه را محکوم کردند.
شورای هماهنگی تبلیغات اسلامی استان سمنان نیز در پایان این مراسم، قطعنامه‌ای در محکومیت جنایت تروریستی کرمان، صادر کرد.
انزجار مردم سیستان و بلوچستان از جنایت تروریست‌های تکفیری و صهیونیستی در حادثه کرمان
مردم ولایت‌مدار زاهدان و سیستان و بلوچستان امروز جمعه همزمان با سراسر کشور در تجمع خود از جنایت تروریست‌های تکفیری و صهیونیستی در کرمان اعلام انزجار کردند.
اقشار مختلف مردم شیعه و سنی سیستان و بلوچستان در تجمع خود بعد از اقامه نماز جمعه جنایت تروریست‌های تکفیری و صهیونیستی در کرمان را محکوم کردند.
حادثه تاسفبار تروریستی در مراسم چهارمین سالگرد شهادت حاج قاسم سلیمانی، سردار دلها که منجر به شهادت و مجروح شدن تعدادی از هموطنان عزیز و بیگناه گردید، موجب تاثر همگان و ملت شهیدپرور سیستان و بلوچستان شد.
مردم با سر دادن شعار مرگ بر آمریکا، مرگ بر اسرائیل و مرگ بر داعش تکفیری اعلام انزجار خود را از عاملین این حادثه تروریستی اعلام کردند.
همچنین ادارات، سازمانها، نهادها، سران طوایف و ائمه جمعه شیعه و سنی و گروهای مختلف مردمی در بیانیه های مختلف این جنایت را محکوم کردند.
کرمانشاهیان جنایت تروریستی کرمان را محکوم کردند
راهپیمایی مردم کرمانشاه در محکومیت جنایت تروریستی اخیر در کرمان برگزار شد.
مردم کرمانشاه، امروز(۱۵ دی) پس از برگزاری نماز عبادی سیاسی جمعه، با شرکت در راهپیمایی، جنایت تروریستی اخیر در کرمان در سالروز شهادت حاج قاسم سلیمانی را محکوم کردند.

این راهپیمایی با حضور نمازگزاران، از مقابل مسجد جامع کرمانشاه آغاز و تا میدان آزادی ادامه داشت.

حاضرین در این راهپیمایی با سردادن شعارهای مرگ بر آمریکا، مرگ بر اسراییل، مرگ بر داعشی، مرگ بر منافق،  لبیک یا حسین و تازنده‌ایم رزمنده‌ایم،  اقدام تروریستی اخیر در کرمان که منجر به شهادت و مجروح شدن جمعی از شرکت کنندگان در مراسم سالگرد شهادت حاج قاسم سلیمانی شد، را محکوم کردند.

راهپیمایان کرمانشاهی که تصاویری از مقام معظم رهبری و شهید سلیمانی را در دست داشتند، با مداحی مداحان اهل بیت(ع) به عزاداری پرداختند.

نماینده ولی فقیه در استان و امام جمعه کرمانشاه، استاندار و جمعی از مسئولین نیز همگام با مردم در این راهپیمایی شرکت داشتند.

در دیگر شهرهای استان کرمانشاه نیز چنین مراسمی برگزار شد. 
فردا(شنبه) نیز دانشگاهیان استان با برگزاری تجمع اعتراضی این جنایت تروریستی را محکوم خواهند کرد.
اعلام انزجار مردم گرگان از عاملان حادثه تروریستی کرمان 
مردم دارالمؤمنین گرگان با برگزاری راهپیمایی باشکوه، خشم و انزجار خود را از عاملان حادثه تروریستی کرمان اعلام کردند.
ظهر امروز «۱۵ دی ماه ۱۴۰۲» نمازگزاران گرگانی همزمان با سراسر کشور پس از اقامه نماز جمعه با برگزاری راهپیمایی هزاران نفری از مصلای وحدت این شهر تا امامزاده عبدالله (ع) حرکت و خشم و انزجار خود را از عاملان انفجارهای تروریستی چهارمین سالگرد شهادت سردار دل‌ها «حاج قاسم سلیمانی» در کرمان و به شهادت رساندن زنان، مردان و کودکان بی‌گناه اعلام کردند.
حضور دختران و پسران دانش‌آموز و دانشجوی دهه‌های ۸۰ و ۹۰ در میان راهپیمایی‌کنندگان که سربندهای منقش به پرچم مقدس سه رنگ جمهوری اسلامی ایران، «یا فاطمه زهرا (س)» و «یا حسین (ع)» به پیشانی بسته بودند، شور و حال وصف ناپذیری را به این راهپیمایی بخشیده بود.
راهپیمایان با فریاد «الله اکبر، خامنه‌ای رهبر»، «این بار نوبت ماست، هیهات من الذله – این انقلاب پابرجاست، هیهات من الذله – این نقشه آمریکاست، هیهات من الذله – دست یهود پیداست، هیهات من الذله»، «مرگ بر آمریکا»، «مرگ بر اسرائیل»، «دریای خون به پا شد، کرمان کربلا شد»، «یاایها المسلمون، کرمان شده غرق خون» «از خون پاک شهدا، ایران شده کربلا»، «حیدر حیدر»، «یا حسین» و «حسین حسین شعار ماست، شهادت افتخار ماست» مسیر تعیین شده برای راهپیمایی را پیمودند.
زنان و مردان خشمگین دارالمؤمنین مرکز استان گلستان که پرچم سه رنگ ایران، فلسطین و حزب الله را بر دست داشتند، با فریاد «رهبر والامقام، انتقام انتقام»، «لشکر والامقام، انتقام انتقام» و «سپاه والامقام، انتقام انتقام» خواستار انتقام از عاملان و حامیان این جنایت کور تروریستی عوامل تکفیری صهیونیستی شدند.
در پایان قطعنامه تظاهرات سراسری محکومیت این جنایت بشری که از سوی شورای هماهنگی تبلیغات اسلامی صادر شده بود، قرائت شد و راهپیمایی‌کنندگان با مشت‌های گره کرده و فریاد شعارهای «مرگ بر آمریکا» و «مرگ بر اسرائیل» مهر تأیید بر آن زدند.
راهپیمایی مردم رشت در محکومیت جنایت تروریستی کرمان
 مردم شهر رشت همزمان با سراسر کشور پس از اقامه نماز جمعه امروز با حضور گسترده و پرشور در تظاهرات محکومیت جنایت تروریستی گلزار شهدای کرمان، خشم و نفرت خود را از جنایات پایان‌ناپذیر استکبار جهانی و در راس آن آمریکا و رژیم صهیونیستی علیه ملت مسلمان و انقلابی ایران را اعلام کردند.
مردم اراک در محکومیت فاجعه تروریستی کرمان راهپیمایی کردند
 مردم اراک پس از اقامه نماز جمعه، با حضور در خیابان، اقدام تروریستی در کرمان را محکوم و از عاملان این فاجعه ابراز انزجار کردند.
این راهپیمایی امروز، ۱۵ دی با حضور اقشار مختلف مردم از مقابل مصلی اراک تا میدان سلمان فارسی برگزار شد و راهپیمایان با سردادن شعار این اقدام تروریستی را محکوم کردند.
پیر و جوان، از همه اقشار در این تجمع حاضر شدند و خطاب به دشمنان فریاد سر داده و اعلام کردند که با اینگونه حرکات نمی‌توانند در وحدت و همبستگی ملت ایران هیچگونه خللی ایجاد کنند.
این راهپیمایی در ۲۷ نقطه از استان مرکزی برگزار شده است.
تظاهرات مازندرانی‌ها در محکوم کردن اقدام وحشیانه تروریست‌ها در کرمان
در ادامۀ تظاهرات جمعه‌های خشم و انزجار، مازندرانی‌ها اقدام وحشیانه تروریست‌ها در کرمان را محکوم کردند.
به گزارش ایسنا، مازندرانی‌ها در روز ۱۵ دی ۱۴۰۲، پس از برگزاری نماز جمعه در راهپیمایی انزجار خود را نسبت به جنایت‌های وحشیانۀ صهیونیست‌ها و اذناب داخلی آنان، اعلام و مرگ بر اسرائیل و آمریکا را فریاد زده و از مقاومت مردم غزه و مظلومیت مردم کرمان حمایت کردند.
راهپیمایی مردم همدان در محکومیت عملیات تروریستی کرمان
اجتماع مردم ولایت‌مدار و شهیدپرور همدان، بعد از نماز عبادی-سیاسی جمعه در محکومیت حادثه تروریستی کرمان مقارن با سالگرد شهادت سردار سلیمانی در مسیر گلزار شهدا و شهادت تعدادی از هموطنان و زائران مزار سیدالشهدا مقاومت برگزار شد.
در این اجتماع، اقشار مختلف مردمی همچون جوانان و نوجوانان این اقدام ددمنشانه را محکوم کردند.
نمازگزاران یزدی حادثه تروریستی کرمان را محکوم کردند
به گزارش ایسنا، نمازگزاران یزدی هم در پایان برپایی نماز جمعه در محکومیت حمله تروریستی گلزار شهدای کرمان از محل مسجد ملااسماعیل تا مجموعه امیرچخماق راهپیمایی کردند و با سر دادن شعارهایی بر ضد حامیان تروریسم، خواستار برخورد جدی با عاملان این جنایت شدند.
راهپیمایی مردم یاسوج در محکومیت حادثه تروریستی کرمان
مردم شهر یاسوج، مرکز استان کهگیلویه و بویراحمد امروز ۱۵ دی ماه ۱۴۰۲ پس از نماز جمعه با انجام راهپیمایی انفجار و حادثه تروریستی کرمان را محکوم کردند.
در این راهپیمایی مردم با سردادن شعارهای مرگ بر آمریکا، مرگ بر اسرائیل، مرگ بر انگلیس، مرگ بر داعشی و تکفیری انزجار خود را از این اقدام تروریستی نشان دادند.
چه غزه چه کرمان جانم فدای ایران، کرمان شده کربلا مهدی بیا مهدی بیا از دیگر شعارهای بود که امروز در پی این اقدام تروریستی ناجوانمردانه توسط راهپیمایی کنندگان سر داده شد.
به گزارش ایسنا، در پایان راهپیمایی نیز قطعنامه ای در محکومیت این اقدام تروریستی قرائت شد.
انتهای پیام"
