Class,Text
culture,"به گزارش خبرگزاری مهر، حسام الشرقاوی رئیس دفتر منطقه‌ای خاورمیانه و شمال آفریقا (منا) در پیامی به پیر حسین کولیوند رئیس جمعیت هلال احمر جمهوری اسلامی ایران با اشاره اینکه اخبار حادثه تروریستی در ایران، بسیار ناراحت کننده بود، شهادت امدادگر هلال احمر کرمان در حادثه تروریستی گلزار شهدای این استان را تسلیت گفت.
کد خبر 5984777"
culture,"به گزارش خبرگزاری مهر، بابک محمودی رئیس سازمان امداد و نجات جمعیت هلال احمر کشور در خصوص طرح تقسیم البسه زمستانی پایگاه‌های امداد و نجات در سراسر کشور گفت: در این طرح اقلامی همچون کاپشن دوپوش، کفش، کلاه و جوراب زمستانه بین امدادگران و نجات‌گران پس از تحویل نمایندگان مراکز استان‌ها در روزهای آینده نیز در پایگاه‌های امداد و نجات توزیع خواهد شد.
وی افزود: در مرحله اول این طرح تعداد ۳۰۰۰ ثوب کاپشن دوپوش و تک پوش ۳۰۰۰ جفت کفش زمستانی، ۲۰۰۰۰ ثوب انواع جوراب، کلاه، دستکش و لباس زمستانی بین امدادگران مستقر در ۱۱ استان کشور توزیع می‌شود و در چند روز آینده البسه سایر استان‌ها جهت توزیع در بین امدادگران و نجاتگران پایگاه‌ها تحویل نمایندگان استانی می‌شود.
رئیس سازمان امداد و نجات جمعیت هلال احمر کشور اظهار کرد: این دومین مرحله توزیع البسه گرم توسط این سازمان بود است که در مرحله اول با اختصاص بودجه جمعیت هلال احمر مراکز استان‌ها بر اساس نیاز اقدام به خرید البسه امدادی برای امدادگران و نجات‌گران مستقر در پایگاه‌های امداد و نجات کردند.
کد خبر 5993664"
culture,"به گزارش خبرگزاری مهر، وحید سلیمی افزود: پس از گذشت ۹۷ روز از آغاز پویش بشردوستی جمعیت هلال‌احمر در تاریخ ۱۷ مهرماه و با احتساب مبالغ جمع‌آوری شده از آن تاریخ تا ۲۴ دی ماه جاری، میزان کمک‌های نقدی هموطنان ایرانی به مردم مظلوم غزه به عدد ۱۲۳ میلیارد تومان رسید.
وی ادامه داد: پویش «بشردوستی» با هدف جمع‌آوری کمک‌های نقدی به نفع مردم غزه از طریق اعلام شماره حساب‌های هلال‌احمر نزد بانک‌های مرکزی و ملی از ۱۷ مهرماه آغاز شده و همچنان ادامه دارد.
هموطنان می‌توانند کمک‌های نقدی خود به مردم غزه را به شماره حساب ۹۹۹۹۹ و شماره کارت ۶۰۳۷۹۹۷۵۴۴۹۹۹۹۹۹ نزد بانک ملی و یا به شماره حساب ۴۱۰۱۰۳۴۷۴۱۹۹۹۹۹۸ و شماره کارت ۶۳۶۷۹۵۷۰۷۸۷۵۸۳۳۶ نزد بانک مرکزی و یا از طریق شماره‌گیری کد دستوری #۵*۱۱۲* واریز کنند.
کد خبر 5996708"
culture,"به گزارش خبرگزاری مهر، غلامرضا رضایی معاون امور حج و عمره سازمان حج و زیارت اظهار کرد: نتیجه سفر هیأت عربستانی به ایران و ارزیابی‌های آنها از فرودگاه‌ها و هواپیماها، مثبت بوده است، جدول جدید اعزام زائران، بازبینی، زمان بندی و سپس اعلام خواهد شد.
وی افزود: سازمان حج و زیارت برنامه اعزام را بازبینی و سفر عمره را آغاز می‌کند.
معاون امور حج و عمره سازمان حج و زیارت اضافه کرد: علاوه بر این سعی می‌شود از ظرفیت ماه رمضان تا جایی که اجازه می‌دهد، استفاده کنیم.
به گفته رضایی، ۴۰ هزار نفر برای عمره نام نویسی کرده بودند که تاکنون ۶ هزار نفر از آنها انصراف داده‌اند.
قرار بود نخستین کاروان زائران عمره مفرده ۱۳ دی راهی عربستان شوند، اما به علت صادر نشدن مجوز از جانب عربستانی‌ها برای برقراری پروازهای عمره، به ۲۴ دی موکول شد که در این تاریخ نیز برقراری سفر عمره به دلیل اختلافات فنی میان سازمان‌های هواپیمایی ایران و عربستان، انجام نشد.
کد خبر 6012010"
culture,"به گزارش خبرگزاری مهر، آیت‌الله سیدمحمد سعیدی تولیت آستان مقدس حضرت فاطمه معصومه (سلام الله علیها) و نماینده ولی فقیه در استان قم در این مراسم بر اهمیت فرزندآوری در اسلام و همچنین جلوگیری از سقط جنین تاکید کرد.
آیت‌الله سعیدی تصریح کرد: سقط جنین به معنی کشتن یک انسان است و باید مردم را از عواقب آن آگاه کرد. تحقیر و بی‌حرمتی که به‌خاطر اندیشه‌های بسیار سخیف نسبت به دختران در عصر جاهلیت می‌شد امروز هم در جاهلیت مدرن نسبت به دختران و پسران اعمال می‌شود و عده‌ای با ناآگاهی قبل از ولادت آن‌ها را سقط می‌کنند.
تولیت آستان مقدس حضرت فاطمه معصومه (سلام الله علیها) افزود: یکی از مصادیق خیر کثیر همین بحث فرزندآوری و جمعیت است که اهمیتش از بسیاری از کارهای خیر دیگر بیشتر است.
سیدمصطفی سیدهاشمی، رئیس هیأت مدیره بنیاد ۱۵ خرداد نیز گفت: بنیاد ۱۵ خرداد ستاد اجرایی فرمان حضرت امام (ره) در دور جدید فعالیت‌هایش با توجه به تأکیدات رهبر معظم انقلاب و نیاز جامعه، عمده اقدامات خود را بر دو موضوع جمعیت و خانواده متمرکز کرده و پویش‌ها و کارویژه‌های متنوع و متعددی را در این حوزه‌ها تعریف و با اولویت مناطق محروم و کم‌برخوردار کشور اجرا و عملیاتی کرده است.
در ادامه، حمیدرضا علیان‌زادگان مدیرعامل بنیاد ۱۵ خرداد نیز اظهار کرد: ما در مجموعه بنیاد ۱۵ خرداد و ستاد اجرایی فرمان حضرت امام (ره) طرح اعطای نشان ملی مادری را با هدف حمایت از مادران فعال و مؤثر با سطح اثر ملی در حوزه جمعیت و خانواده تعریف کرده‌ایم و اولین نشان ملی مادری به خانم دکتر سیمین رودی که مسؤول مجموعه نفس (نجات فرزندان سقط) در استان خراسان رضوی و شهر نیشابور هستند اعطا می‌شود.
علیان‌زادگان افزود: رودی در مجموعه نفس در زمینه جلوگیری از سقط جنین فعالیت می‌کنند و تاکنون موفق شده‌اند بیش از ۳۴۰ زن باردار را که قصد سقط جنین داشته‌اند منصرف نمایند تا فرزندشان به دنیا بیاید و موهبت مادرشدن را تجربه کنند.
در ادامه این مراسم، اولین نشان ملی مادری توسط تولیت آستان مقدس حضرت فاطمه معصومه (س) و همزمان با ایام ولادت حضرت فاطمه زهرا (س) و روز مادر به دکتر سیمین رودی اهدا شد
کد خبر 5984373"
culture,"به گزارش خبرگزاری مهر، حسین خدرویسی، معاون حمایت و سلامت خانواده کمیته امداد، آخرین رقم پرداختی مستمری مددجویان را اعلام کرد.
وی با بیان اینکه بر اساس قانون، مستمری مددجویان امسال باید ۴۰ درصد افزایش می‌یافت، گفت: از ابتدای سال جاری مستمری مددجویان ۲۰ درصد افزایش یافت و از شهریورماه نیز ۲۰ درصد افزایش دیگر انجام شد تا رشد ۴۰ درصدی پرداختی مستمری محقق شود.
معاون حمایت و سلامت خانواده کمیته امداد اظهار کرد: در حال حاضر خانواده‌های تک نفره ۷۷۰ هزار تومان مستمری ماهانه دریافت می‌کنند.
خدرویسی خاطرنشان کرد: به خانواده‌های ۲ نفره یک میلیون ۹۰ هزار تومان و به خانواده‌های سه نفره یک میلیون و ۵۲۵ هزار تومان مستمری پرداخت می‌شود.
وی ادامه داد: خانواده‌های چهار نفره یک میلیون و ۹۶۰ و خانواده‌های پنج نفره و بیشتر ۲ میلیون و ۴۱۰ هزار تومان مستمری دریافت می‌کنند.
معاون حمایت و سلامت خانواده کمیته امداد در خصوص مستمری سال آینده مددجویان نیز گفت: تاکنون افزایش ۳۰ درصدی مستمری در کمیسیون تلفیق مجلس شورای اسلامی تصویب شده که منتظر تأیید آن در صحن علنی مجلس هستیم.
کد خبر 6002369"
culture,"به گزارش خبرگزاری مهر، حسین خدرویسی در نشست آموزشی توجیهی مددکاران استان تهران اظهار کرد: امروز نهاد مقدس کمیته امداد پرچمدار خدمت‌رسانی در بخش‌های مختلف از جمله تأمین مسکن، اشتغال و خدمت حمایتی و معیشتی است.
وی افزود: امدادگران در سراسر کشور با افتخار و بی‌منت در خدمت عزیزترین و شریف‌ترین افراد جامعه هستند.
معاون حمایت و سلامت خانواده کمیته امداد با اشاره به اینکه همه واحدهای امداد در خدمت مددکاران و مددجویان هستند، بیان کرد: ما در کمیته امداد همه در صف و ستاد در خدمت مددجویان هستیم. همه امدادگران کار ارزشمندی در راستای خدمت‌رسانی به نیازمندان انجام می‌دهند.
وی افزود: حوزه تخصصی حمایت و سلامت خانواده، محور اصلی خدمت به مددجویان است، برخی حوزه‌ها تکمیل کننده و برخی پشتیبان حوزه مددجویی هستند.
به گزارش پایگاه اطلاع‌رسانی کمیته امداد، خدرویسی ادامه داد: هم اکنون یک میلیون و ۷۰۰ هزار سالمند و ۱۰۰ هزار مددجوی دارای بیماری صعب‌العلاج تحت حمایت کمیته امداد هستند و برخی نیز مستعد شغل و توانمندی هستند.
معاون حمایت و سلامت خانواده کمیته امداد بیان کرد: مددکاران پرچمداران خدمت هستند که با چالش‌های مختلفی در حوزه خدمت‌رسانی مواجهند و ما در این راستا تلاش داریم اقدامات لازم را در خصوص رفع مشکلات موجود اجرایی کنیم.
وی گفت: اشتغال یکی از بهترین و ارزشمندترین خدمات کمیته امداد و عامل توانمندسازی است و از دیگر عوامل توانمندسازی، تأمین مسکن و خدمات فرهنگی و حقوقی است.
کد خبر 5996376"
culture,"به گزارش خبرگزاری مهر، علی محمد قادری با اشاره به ارائه برش جدی و جدید سازمان ملی استاندارد به سازمان بهزیستی، گفت: موارد منضم به قانون همراه با ملحقات بسیار متنوع در این تفاهم نامه نشان دهنده نگاه ژرف دو سازمان به مسائل است.
وی گفت: سازمان بهزیستی برای ایجاد یک زیست مومنانه لازم دارد در کنار سوابق و تجارب و خدمات تخصصی کارشناسان و متخصصان از ظرفیت و هم افزایی جدید ایجاد شده بهره برداری کنند.
قادری با تاکید بر ایجاد کارگروهی برای اجرایی کردن تفاهم نامه و مسیر اقدام و عمل، گفت: استاندارد سازی مقررات فنی، دستورالعمل‌ها، ضوابط و روش ارزیابی انطباق در بهزیستی، اجرای مصوبه یکصد و هفدهمین اجلاسیه شورای عالی استاندارد در خصوص اجرای استاندارد با عنوان"" خانه‌های سالمندان- کلیات خدمات ""، استانداردسازی و ارتقا سطح کیفی خدمات بهزیستی و راه اندازی جایزه کیفیت بخشی بهزیستی، برگزاری دوره‌های آموزشی و توان افزایی، انجام طرح‌های مشترک مطالعاتی، تحقیقاتی و پژوهشی، مشارکت در فعالیت‌های مرتبط با تدوین استانداردهای بین المللی و ترویج فرهنگ استاندارد، کیفیت و بهزیستی موارد مطرح شده در این تفاهم نامه است.
احسان ساده معاون ارزیابی کیفیت سازمان ملی استاندارد هم با اشاره به خدمات سازمان بهزیستی گفت: مهمت رین خدماتی که در هر کشور به نمایندگی از مردم توسط حاکمیت ارائه می‌شود به مظلوم ترین بخش جامعه و در حوزه بهزیستی است.
وی در خصوص راه اندازی مجتمع خدمات بهزیستی شوق زندگی گفت: در یک مجموعه معنوی تجمیع بخش‌های مختلف قضائی، اداری، مشاوره‌ای و خیرین و ساماندهی این گونه مراکز برای یک خدمت سریع به مردم یک روح مدیریتی متعالی و سازماندهی می‌خواهد که در حال حاضر در سازمان بهزیستی وجود دارد.
ساده با بیان اینکه توجه به مقوله استاندارد و کیفیت به صورت داوطلبانه توسط سازمان بهزیستی صورت گرفته است، گفت: توجه به مقوله استاندارد صرف نظر از خود ارائه خدمت، نشان دهنده کارآمدی نظام سیاسی است و امیدآفرینی و رضایت عمومی جامعه در پی دارد.
این تفاهم‌نامه در ۵ ماده، ۴۴ بند، ۱ تبصره و در ۲ نسخه با اعتبار ۵ سال و قابل تمدید برای دوره‌های بعدی پیش از ظهر امروز در محل شیرخوارگاه حضرت آمنه به امضای احسان ساده، معاون ارزیابی کیفیت سازمان ملی استاندارد و علی محمد قادری، معاون وزیر و رئیس سازمان بهزیستی کشور رسید.
در حاشیه امضای این تفاهم نامه، معاون ارزیابی کیفیت سازمان ملی استاندارد و همراهان از مجتمع شوق زندگی و شیرخوارگاه آمنه بازدید کردند.
کد خبر 5989595
علی قدمی"
culture,"به گزارش خبرگزاری مهر، وحید سلیمی‌گفت: طرح «حمایت ماندگار» با همکاری مشترک سازمان داوطلبان جمعیت هلال احمر و سازمان انتقال خون، با هدف اهدای خون سالم به بیماران و نیازمندان فرآورده‌های خونی و با مشارکت داوطلبان، به صورت منظم و دائمی در سراسر کشور اجرا می‌شود.
وی افزود: این طرح با حضور داوطلبان در پایگاه‌های ثابت و سیار انتقال خون کشور اجرا شده است.
سلیمی ادامه داد: با حضور داوطلبان بشردوست در این مراکز، ۶۳ هزار و ۲۵۱ واحد خون سالم به بانک‌های خون سراسر کشور اهدا شد تا در اختیار بیماران قرار گیرد.
وی ضمن قدردانی از مشارکت داوطلبان نوع‌دوست در این طرح بشردوستانه گفت: از داوطلبانی که علاقمند به کمک در تأمین خون و فرآورده‌های خونی مورد نیاز هستند، دعوت می‌شود تا با مراجعه به شعب جمعیت هلال احمر، ما را در این امر مهم همراهی کنند.
کد خبر 5991472"
culture,"به گزارش خبرنگار مهر، قرار بود بامداد امروز نخستین گروه زائران عمره مفرده از فرودگاه امام خمینی راهیِ عربستان شوند ولی این پرواز هنوز انجام نشده است. در این باره حسام قربانعلی روابط عمومی و سخنگوی شرکت هواپیمایی ایران‌ایر در گفت و گو با شبکه خبر گفت: مقدمات کار برای اعزام ۳۰ هزار نفر از زائران عمره مفرده انجام شد و همه سازمانها و دستگاه‌ها کارهای خود را برنامه ریزی کردند و هواپیمایی جمهوری اسلامی ایران هم کار اعزام را با کشور عربستان اداره کرد.
قربانعلی بیان کرد: زیرساختهای فنی با سازمان حج و زیارت نیز انجام شده بود حتی بلیت زائران هم صادر شد و نمایندگان ما در عربستان نیز زیرساختهای فرودگاهی را فراهم کردند ولی به رغم عدم دریافت مجوز نهایی لازم برای ورود هواپیماهای ایرانی به فرودگاه جده با مشکل رو به رو شدیم.
وی ادامه داد: این مشکل ابداً از سمت ایران نیست فرایندهای قانونی و طی تشریفات خاصی لازم است و عربستان هم در حال پیگیری موضوع است. به محض اخذ این مجوز، ناوگان هما در فرودگاه امام و ترمینال سلام آمادگی برای اعزام را دارد.
همه هماهنگی‌ها انجام شده بود و تا الان هم همکاران در حل پیگیری هستند برای قسمت‌هایی که در اختیار ایران بوده، پیش بینی‌ها انجام شده و فرایندها طی شده است اما پیچیدگی‌هایی در تشریفات اداری و تعاملات طرفین هست که باید لازم انجام شود.
وی ادامه داد: این تعویق جبران خواهد شد و از همه زائران چشم انتظار عذرخواهی می‌کنم. زمان دقیقی برای پرواز نداریم. هر لحظه که مشکل حل شد اطلاع خواهیم داد.
کد خبر 5983900
فاطمه کریمی"
culture,"به گزارش خبرنگار مهر، طرح غربالگری رایگان وضعیت اسکلتی، عضلانی کودکان و نوجوانان» امروز به مناسبت دهه فجر با شعار از توانبخشی تا توانمندی رونمایی شد.
حجت الاسلام حسینی المدنی رئیس جوانان جمعیت هلال احمر در مورد اجرای این طرح گفت: طرح برای کودکان و نوجوان صورت می‌گیرد تا این افراد در بزرگسالی دچار مشکل نشوند و با حرکت اصلاحی مشکل اسکلتی _ عضلانی را رفع کنیم.
وی افزود: این طرح فقط فعلاً در مرکز جامع توانبخشی هلال‌احمر در تهران و در فاز دوم در سایر استان‌ها صورت می‌گیرد. همچنین این طرح دائمی خواهد بود و از امروز کلید خورد.
وی اعلام کرد: این طرح غربالگری با همکاری آموزش و پرورش و معاونت پیش دبستانی جوانان هلال صورت گرفته است.
همچنین پیمان نامدار، معاون درمان و توانبخشی هلال احمر در مراسم افتتاح طرح غربالگری رایگان اظهارداشت: در هلال احمر جز گروه‌های داوطلب محوریم و جوانان مهم‌ترین عنصر کارهای داوطلبانه محور است.
وی افزود: خدمت به خلق مهم‌ترین عبارت است و این طرح هم در همین راستا مد نظر قرار گرفته است.
نامدار گفت: طی سال‌های اخیر ۱۰ درصد تولید ناخالص ملی به بحث بهداشت و درمان اختصاص یافته و اگر پیشگیری صورت گیرد می‌توان این اعتبار را صرف زیرساخت‌های کشور کرد.
معاون درمان و توانبخشی هلال احمر ادامه داد: هزینه توانبخشی زیاد است و یک ساعت کار درمانی ۴۵۰ تومان و ماهانه حداقل تا ۷ میلیون هزینه برای خانواده در بخش خصوصی به همراه دارد لذا با اقدامات هلال احمر و اجرای طرح غربالگری نه تنها با پیشگیری در هزینه‌ها صرفه جویی می‌شود بلکه می‌توان این اعتبار را برای بخش‌های دیگر به کار گرفت.
کد خبر 6012603"
culture,"به گزارش خبرگزاری مهر، یعقوب سلیمانی دبیر کل جمعیت هلال احمر به همراه محمودی رئیس سازمان امداد و نجات جمعیت هلال احمر به دستور پیر حسین کولیوند رئیس جمعیت هلال احمر و برای رسیدگی به آخرین وضعیت مصدومان حادثه انفجار در گلزار شهدای کرمان، عازم این استان شدند.
کد خبر 5984598"
culture,"به گزارش خبرگزاری مهر هاشم کارگر، رئیس سازمان ثبت احوال با تاکید بر اینکه موضوع فاقدین شناسنامه به عنوان یکی از دغدغه‌ها در سطح کشور مورد توجه ویژه مسئولین قرار دارد، اظهارکرد: با توجه به اینکه موضوع افراد فاقد شناسنامه، از موضوعاتی بسیار مهمی بوده که در چند دهه گذشته همواره کشور درگیر آن بوده است لذا در ابتدای شروع بکار دولت سیزدهم با توجه به سیاست‌های دولت مبنی بر حل مشکلات مردم، در اولین سفر استانی رئیس جمهور محترم به استان سیستان و بلوچستان، اقدامات ویژه ای درخصوص رسیدگی به وضعیت افراد فاقد مدارک هویتی مدعی تابعیت ایرانی این استان در دستور کار قرار گرفت.
وی افزود: به منظور تسریع در انجام امور مربوط کارگروهی تشکیل گردیده است تا بتوان با ایجاد هماهنگی در بین دستگاه‌های ذیربط اقدامات موثرتری به عمل آید.
کارگر در ادامه با اشاره به توجه ویژه دولت سیزدهم و جناب آقای دکتر وحیدی مبنی بر تعیین تکلیف افراد فاقد شناسنامه، ادامه داد: وزیر محترم کشور نیز در این خصوص در اقدامی بی سابقه طی بخشنامه‌ای جامع و کامل به تمامی استانداران، فرمانداران و شورای تأمین استان‌ها و شهرستانها، آنها را مکلف به شناسایی و تعیین تکیلف این افراد نمود.
وی اظهار داشت: به منظور تسریع در اقدامات با عنایت به مصوبه شورای امنیت، سازمان ثبت احوال کشور نیز در همین راستا، بنا به تکالیف خود طی اقدامات ویژه ای تعیین تکلیف پرونده‌های موجود را به عنوان اولویت در دستور کار خود قرار داده و طی بخشنامه‌ای به مدیران کل ثبت احوال استان‌ها بر رسیدگی به پرونده‌های موجود به عنوان یکی از مهمترین اولویت‌های کاری تاکید کرد.
کارگر افزود: سازمان ثبت احوال کشور در اولین قدم با مهیا نمودن زیرساخت‌های لازم، برای این افراد فاقد شناسنامه، تشکیل پرونده داده و به آنان شناسه‌ای تخصیص داد.
وی با اشاره به راه اندازی سامانه الکترونیکی http://faghedin.sabteahval.ir و ثبت نام حدود ۲۰۰ هزار نفر در این سامانه، افزود: این سامانه به منظور شناسایی، صدور کارت موقت و در نهایت تعیین تکلیف افراد فاقد شناسنامه با هدف استفاده از خدمات اجتماعی در راستای تکالیف دستورالعمل مقابله با فقر مطلق و کاهش هزینه‌های حاکمیتی صورت گرفته است که افراد بتوانند در این سامانه ثبت نام و جهت احراز هویت و تابعیت و در نهایت صدور شناسنامه اقدام نمایند.
رئیس سازمان ثبت احوال با بیان اینکه تلاش بر آن است که تأیید یا رد تابعیت ایرانی این افراد و تعیین تکلیف پرونده‌های آنان در سریع‌ترین زمان ممکن به انجام رسد، گفت: هدف ما در ثبت احوال تعیین تکلیف پرونده این گونه افراد است تا این افراد را از مجهول بودن هویت در سطح کشور خارج نمائیم و همه افراد مدعی شناسایی شوند؛ در واقع ساماندهی افراد فاقد شناسنامه در اولویت و دستور کار ویژه سازمان قرار دارد.
کارگر بیان کرد: شناسایی و تعیین تکلیف افراد فاقد شناسنامه، کاهش هزینه‌های حاکمیتی، کمک به ایجاد سازوکارهای قانونی ارائه خدمت به افراد مشمول، ایجاد سرویس استعلام تصدیق اصالت کارت فاقدین شناسنامه از آثار و نتایج این طرح بوده است.
رئیس سازمان ثبت احوال کشور در پایان افزود: تشکیل کارگروه‌های مشترک بین دستگاه‌های متولی، حضور میدانی مدیران سازمان ثبت احوال کشور در استان‌ها و پیگیری موضوعات مرتبط با افراد فاقد شناسنامه در دو سال گذشته از دیگر اقداماتی است که در این خصوص صورت پذیرفته است.
کد خبر 6002696
سيد اسد رجبی"
culture,"به گزارش خبرگزاری مهر، مسعود مثنوی، مدیرعامل جمعیت هلال احمر استان چهارمحال و بختیاری گفت: ۸ ورزشکار مدال آور جهانی و آسیایی با بر تن کردن کاور سازمان داوطلبان به عضویت این جمعیت درآمدند تا در انجام و ارائه خدمات داوطلبانه یاریگر جمعیت هلال احمر باشند.
وی افزود: عامه مردم جمعیت هلال احمر را به عنوان دستگاهی امدادرسان در حوادث و بحران‌ها می‌دانند در صورتی که این نهاد، مجموعه‌ای از خدمات مختلف را در همه زمینه‌ها به مردم ارائه می‌دهد از خدمات امداد و نجات تا داوطلبانه و بشر دوستانه، درمانی و فرهنگی و اجتماعی.
مثنوی اظهار کرد: داوطلبان حلقه اتصال توان توانمندان و نیاز نیازمندان هستند و برای آنان نژاد، فرهنگ، قومیت و زبان فرقی نمی‌کند و هدفشان تنها خدمت به خلق خدا است.
سلیمی رئیس سازمان داوطلبان جمعیت هلال احمر کشور نیز در تماس تلفنی به این ورزشکاران گفت: آرزوی قلبی ملت ایران برای شما مدال آوران ورزشی در عرصه‌های مختلف جهانی، آسیایی، ملی و کشوری درخشش بیش از پیشتان است.
وی عضویت آنان در سازمان داوطلبان را فرصتی جهت نیل به اهداف عالیه جمعیت هلال احمر در اقدامات عام المنفعه دانست و ورزشکاران را سفیران صلح و دوستی این جمعیت خطاب کرد.
کد خبر 6011635"
culture,"به گزارش خبرگزاری مهر، رحیم زارع، سخنگوی کمیسیون تلفیق لایحه بودجه سال ۱۴۰۳، گفت: مستمری مددجویان کمیته امداد و بهزیستی برای سال آینده ۳۰ درصد افزایش پیدا می‌کند.
وی افزود: افزایش ۳۰ درصدی مستمری مددجویان، در جلسه روز گذشته کمیسیون تلفیق مجلس شورای اسلامی به تصویب رسید.
کد خبر 5996343"
culture,"به گزارش خبرگزاری مهر، رضا فلاح، مدیرعامل جمعیت هلال‌احمر کرمان، با اشاره به ارائه خدمات امدادی و بشردوستانه این جمعیت در چهارمین سالگرد شهادت سردار سلیمانی از یازدهم الی پانزدهم دی‌ماه گفت: در ۵ روز گذشته، ۲ هزار و ۲۰٨ نفر برای دریافت خدمات امدادی به نیروهای این جمعیت مراجعه کردند که ۱۸۲ نفر از آنان، به صورت سرپایی درمان و ۱۱ نفر نیز به مراکز درمانی منتقل شدند.
وی با اشاره به غربالگری فشارخون برای بیش از ۲ هزار نفر ادامه داد: امدادگران و نجات گران هلال احمر در طی این چند روز ۶ نفر مفقود شده را به خانواده‌های آنان باز گرداندند.
فلاح با اشاره به راهنمایی ۳۲۸ نفر از زائرین توسط اعضای جوانان ادامه داد: ۴۳ دستگاه خودروی عملیاتی، امدادی و نجات در ۵ روز گذشته برای عملیات‌های امدادرسانی به کار گرفته شده است.
وی افزود: تاکنون ۳۲۶ نیروی عملیاتی در قالب ۴۶ تیم برای ارائه خدمات امدادی در چهارمین سالگرد شهادت سردار سلیمانی حضور یافتند.
گفتنی است، مدت اجرای ارائه خدمات امدادی مراسم طرح به مدت ۸ روز، از یازدهم الی هجدهم دی‌ماه است و تمامی شعب و پایگاه‌های امداد و نجات استان کرمان، برای ارائه خدمات در حالت آماده‌باش قرار دارند.
کد خبر 5986740"
culture,"به گزارش خبرگزاری مهر، بابک محمودی رئیس سازمان امدادونجات در حکمی «غلامرضا علی محمدی» را به سمت سرپرست مرکز امداد و نجات هوایی سازمان امدادونجات منصوب کرد.
حکم انتصاب غلامرضا علی محمدی توسط رئیس سازمان امدادونجات به شرح زیر است:

جناب آقای غلامرضا علی محمدی
نظر به تعهد و سوابق ارزشمند جناب عالی، به موجب این ابلاغ به عنوان سرپرست مرکز امداد و نجات هوایی سازمان امداد و نجات منصوب می‌شوید.
با توجه به اهمیت و جایگاه خاص این مرکز انتظار دارم تمام توان و همت اجرایی خود را در جهت بهبود و ارتقا سازمانی به ویژه در موارد ذیل به کار گرفته و با همکاری وهم افزایی سایر حوزه‌های سازمان در این مسیر اقدام کنید.
۱. پیگیری برای ارتقا توان امداد هوایی جمعیت هلال احمر
۲. نظارت بر انعقاد و اجرای قراردادهای تعمیر، نگهداری، اورهال و…
۳. برنامه ریزی و نظارت بر استقرار بالگردهای جمعیت هلال احمر در استان‌های کشور
۴. تهیه، بروز رسانی و اجرای دستور العمل ها و شیوه نامه‌های موجود در خصوص پروازهای اقتصادی و عملیاتی جمعیت هلال احمر
۵. ارتباط و نظارت بر عملکرد شرکت هلیکوپتری نوید
امید است با استعانت از خداوند متعال در جهت رسیدن به اهداف متعالی جمعیت هلال احمر جمهوری اسلامی ایران گام‌های اساسی برداشته و با فصل‌الخطاب قراردادن منویات مقام معظم رهبری (مدظله‌العالی) به ویژه بیانیه گام دوم انقلاب اسلامی و با مدیریت جهادی و عمل انقلابی و استفاده حداکثری از ظرفیت‌های موجود در سایه همدلی، هم‌افزایی و همراهی مدیران در انجام وظایف پیروز و سربلند باشید.
کد خبر 6010442"
culture,"به گزارش خبرگزاری مهر، حمید محبوبی مدیرعامل جمعیت هلال‌احمر آذربایجان غربی از وقوع بهمن در ارتفاعات رندوله اشنویه خبر داد و گفت: ساعت ۱۲:۰۵ روز جمعه ۲۱ دی ماه ۱۴۰۲، ۵ نفر از کوهنوردان در «ارتفاعات رندوله اشنویه» گرفتار بهمن شدند.
وی افزود: ۵ تیم امداد کوهستان هلال‌احمر بلافاصله به محل حادثه اعزام شدند.
کد خبر 5992406"
