Class,Text
economy,"کریم حسینی عضو کمیسیون اجتماعی مجلس شورای اسلامی در گفت‌وگو با خبرنگار مهر، درباره عواقب افزایش مالیات بر ارزش افزوده در بودجه سال آینده گفت: در کمیسیون اجتماعی مجلس بحث افزایش مالیات بر ارزش افزوده در بودجه مطرح و مورد بررسی قرار گرفت.
حسینی با بیان اینکه تمام اعضای کمیسیون اجتماعی به شدت این موضوع مخالفت کردند و این افزایش در کمیسیون اجتماعی رد شد ادامه داد: اعضای کمیسیون اجتماعی هنوز هم مخالف این موضوع هستند.
این نماینده مجلس یازدهم بیان کرد: اقدام اشتباه دیگری که انجام شده این است که اجرای همسان سازی حقوق بازنشستگان به این افزایش متصل شده است.
این عضو کمیسیون اجتماعی مجلس گفت: به عبارتی در بودجه قید شده که مالیات بر ارزش افزوده یک واحد درصد افزایش پیدا کند و از منابع حاصل از این افزایش برای اجرای همسان سازی حقوق بازنشستگان استفاده شود.
حسینی خاطرنشان کرد: مالیات بر ارزش افزوده و همسان سازی حقوق بازنشستگان هیچ تناسبی با هم ندارند، منابع دیگری داریم که دولت می‌تواند با شناسایی آنها منابع لازم برای اجرای همسان سازی حقوق بازنشستگان را تأمین کند.
این نماینده مجلس یازدهم توضیح داد: حتی دولت اعلام کرده که ۵۰ همت برای اجرای همسان سازی حقوق بازنشستگان در نظر گرفته شده است ولی اگر منابع لازم کم باشد از این منبع استفاده خواهیم کرد.
حسینی با بیان اینکه پیشنهاد کمیسیون اجتماعی این بود که ۷۰ همت از محل منابع عمومی دولت برای اجرای همسان سازی در نظر بگیرد بیان کرد: برای افزایش مالیات بر ارزش افزوده یک بار اعلام کردند برای نوسازی مدارس به منابع آن نیاز داریم، یک بار دیگر اعلام شد که برای تأمین منابع آموزش و پرورش به آن نیاز دارند و حتی اعلام شده که برای تأمین مستمری والدین شهدا و همسان سازی حقوق بازنشستگان به آن نیاز دارند.
این نماینده مجلس یازدهم ادامه داد: افزایش مالیات بر ارزش افزوده یک کار ارزشی نیست که بخواهند با عناوین ارزشی اجرای آن را توجیه کنند. ما اجرای این روش‌ها را رد می‌کنیم زیرا افزایش مالیات بر ارزش افزوده به معنی وارد کردن فشار بیشتر به اقشار محروم و ضعیف جامعه است.
وی خاطرنشان کرد: قرار نیست هر جا کم آوردیم و منابع در اختیار نداشتیم دست در جیب مردم کنیم. افزایش مالیات بر ارزش افزوده مصداق بارز دست در جیب مردم کردن است.
این نماینده مجلس یازدهم با انتقاد از اینکه قرار نیست ما آسان‌ترین راه را برای تأمین منابع و کسری‌ها انتخاب کنیم افزود: متأسفانه افزایش مالیات بر ارزش افزوده راهی است که مردم هیچ انتخابی در پرداخت و عدم پرداخت آن ندارند، مردم هر خریدی بکنند باید این مالیات را بپردازند و حتی اگر هم بخواهند این مالیات را نپردازند، باز هم مجبور به پرداخت هستند.
حسینی در پایان تاکید کرد که افزایش مالیات بر ارزش افزوده یک روش اخلاقی نیست.
کد خبر 6012888
محمدحسین سیف اللهی مقدم"
economy,"به گزارش خبرگزاری مهر، سید احسان خاندوزی در صد و هجدهمین جلسه شورای گفت‌و گوی دولت و بخش خصوصی با اشاره به پایان وقفه این نشست‌ها، گفت: در جلسه مقام معظم رهبری با تولیدکنندگان بر نقش آفرینی بخش خصوصی و نیز رفع موانع تولید تاکید شد؛ این موضوع مهمی است و باید ثمرات آن در تصمیم‌ها قابل مشاهده باشد. امسال که رشد تولید و مهار تورم در دستور کار کشور قرار داشت، باید دستاوردهای مثبت و گره‌ها و موانع برای رئیس جمهوری ارسال شود تا صدای فعالان بخش خصوصی شنیده شود.
خاندوزی در ادامه تاکید کرد: در یک ماه و نیم پایانی سال با توجه به لزوم تأمین بازار شب عید و تقارن آن با ماه مبارک رمضان، سر فصل دیگری از تعاملات مشترک دولت و بخش خصوصی آغاز می‌شود و بر همین اساس نظام ارزی کشور باید متعهد به تأمین ارز مورد نیاز فعالان اقتصادی در کوتاه‌ترین زمان ممکن شود.
وی افزود: جلسه شورای گفتگوی دولت با بخش خصوصی بعد از نزدیک هشت ماه تشکل شد که جای خوشحالی دارد. در روزهای اخیر سرعت تأمین ارز واردات کالا افزایش یافته است، افزایش سرعت تأمین ارز در روزهای اخیر خود را در ثبت سفارش‌ها نشان می‌دهد. ‌
کد خبر 6013452"
economy,"به گزارش خبرگزاری مهر به نقل از مؤسسه تحقیقات آب، برای هفته جاری وقوع بارش‌ها در برخی مناطق غرب کشور مورد انتظار است. در این مناطق کشور مقادیر تجمعی بارش ۲۵ تا ۵۰ میلی‌متر پیش‌بینی‌شده است.
بر اساس تقسیمات حوضه‌های درجه ۱ کشور، حوضه خلیج‌فارس و دریای عمان و حوضه دریاچه ارومیه به ترتیب با مقدار میانگین ۱.۵ و ۱.۹ میلی‌متر و بیشینه نقطه‌ای ۵۷.۱ و ۳۷ میلی‌متر پرباران‌ترین حوضه‌های کشور در هفته جاری خواهند بود.
همچنین حوضه مرزی شرق با مقدار میانگین ۰.۱ میلی‌متر و بیشینه نقطه‌ای ۳.۲ میلی‌متر کم باران‌ترین حوضه درجه ۱ کشور است. بر اساس این گزارش، از میان حوضه‌های درجه ۲ کشور، حوضه مرزی غرب با متوسط بارش ۱۰.۲ میلی‌متر و بیشینه بارش ۵۷.۱ میلی‌متر پرباران‌ترین حوضه درجه‌دو کشور است.
از میان استان‌های کشور، استان‌های کردستان و کرمانشاه با بارش تجمعی معادل ۲۵ تا ۵۰ میلی‌متر در هفته جاری پر بارش‌ترین استان‌های کشور خواهند بود.
کد خبر 6014200
فاطمه صفری دهکردی"
economy,"به گزارش خبرگزاری مهر، در آخرین ساعت معاملات مرکز مبادله ارز و طلای ایران، هر اسکناس دلار آمریکا ۴۲ هزار و ۹۲۱ تومان و نرخ حواله دلار ۳۹ هزار و ۵۲۱ تومان معامله شد که در مقایسه با روز کاری گذشته تغییری نداشت. هر اسکناس یورو با کاهش ۳۰۱ تومانی در مرکز مبادله ایران به ۴۶ هزار و ۲۹۲ تومان رسید و نرخ حواله یورو نیز با کاهش ۲۷۷ تومانی به قیمت ۴۲ هزار و ۶۲۵ تومان معامله شد.
همچنین اسکناس درهم امارات ۱۱ هزار و ۶۸۷ تومان ارزش‌گذاری شده و نرخ حواله درهم نیز ۱۰ هزار و ۷۶۱ تومان است.
کد خبر 6013345"
economy,"به گزارش خبرگزاری مهر به نقل از وزارت نفت، جلیل سالاری صبح امروز (یکشنبه، ۱۵ بهمن‌ماه) در آئین کاشت ۳ هزار اصله نهال در پالایشگاه نفت تهران و ۵۰۰ هزار اصله نهال در صنایع پالایشی گفت: ۱۵ میلیارد دلار تاکنون به طرح‌های بهینه‌سازی صنایع پالایشی اختصاص داده شده است و افزون بر این به ۹ میلیارد دلار سرمایه‌گذاری دیگر در طرح‌های ارتقای کیفی نفت کوره نیاز داریم.
وی ضمن قدردانی از همراهی سازمان توسعه منابع طبیعی و آبخیزداری برای ایجاد هم‌افزایی بین صنعت و منابع طبیعی و اختصاص عرصه در زمینه افزایش سرانه فضای شرکت‌های پالایشی افزود: همسو با دستور مقام معظم رهبری برای کاشت یک میلیارد نهال در کشور تا چهار سال آینده بر اساس تفاهم‌نامه با وزارت جهاد کشاورزی، ۵۰۰ هزار اصله نهال در صنایع پالایشی کشور غرس خواهد شد که امیدواریم این عدد در سال‌های آینده به ۵ میلیون اصله برسد.
معاون وزیر نفت در امور پالایش و پخش تأکید کرد: امیدواریم بتوانیم با همکاری و هماهنگی وزارت جهاد کشاورزی در محیط‌های فرا عملیاتی نیز درخت بکاریم که این اقدام تاکنون در پالایشگاه امام خمینی (ره) شازند اجرایی شده است و در پالایشگاه ستاره خلیج‌فارس نیز به‌زودی اجرایی می‌شود، افزون بر آن شرکت ملی پالایش و پخش فرآورده‌های نفتی با این اقدام به‌صورت فعالانه در اقدام‌های جهانی برای ترسیب کربن مشارکت خواهد کرد.
سالاری با اشاره به برنامه‌ریزی این صنعت برای ایجاد فضای سبز در محیط‌های صنعتی همسو با مسئولیت اجتماعی صنعت نفت گفت: گسترش فضای سبز تأسیسات پالایشی به موازات تولید و عرضه و دیگر اقدام‌های اجتماعی ما انجام می‌شود.
وی با تأکید بر اینکه یکی از مسئولیت‌های اجتماعی ما افزایش رعایت سرانه فضای سبز در حوزه محیط زیست است، درباره مصرف انرژی در شرکت‌های پالایشی گفت: به‌صورت کلی در ۱۰ پالایشگاه کشور روزانه ۱۸ میلیون مترمکعب گاز طبیعی مصرف می‌شود، در حالی که مقدار مصرف شهر گاز تهران به تنهایی روزانه نزدیک به ۱۰۰ تا ۱۰۵ میلیون مترمکعب است.
مدیرعامل شرکت ملی پالایش و پخش فرآورده‌های نفتی با اشاره به اقدام‌های محیط زیستی انجام‌شده در صنایع پالایشی گفت: در حوزه درون‌سازمانی تلاش شده است گازهای مشعل پالایشگاه‌ها را به‌صورت کامل خاموش کنیم و در دفع لجن، کیفی‌سازی و افزایش سرانه فضای سبز در حد استانداردهای تکلیف‌شده وظایف خود را انجام دادیم.
سالاری با اشاره به اینکه در بخش حمل‌ونقل جوان‌ترین ناوگان حمل‌ونقل سنگین در صنایع را داریم، افزود: ۸ هزار خودرو حمل فرآورده جوان و تجهیز شده و مجهز به تجهیزات طرح کهاب هستند و تلاش مجموعه این است که استانداردها را در این زمینه رعایت کنیم.
وی تأکید کرد: در گذشته در حوزه پدافند غیرعامل، فضای سبز، نیروی عملیاتی و آبیار سمت داشتیم که این موضوع نشانه اهمیت زمینه مسئولیت اجتماعی است.
معاون وزیر نفت در امور پالایش و پخش فرآورده‌های نفتی افزود: امیدواریم اقدام‌های این‌چنینی در آینده این صنعت در زمینه حفظ محیط زیست گامی تأثیرگذار باشد.
بر اساس این گزارش، با اجرای این تفاهم‌نامه کاشت ۵۰۰ هزار اصله نهال در صنایع پالایشی کشور به‌صورت همزمان اجرایی خواهد شد که این عدد در پالایشگاه بندرعباس ۲۰۰ هزار اصله، در پالایشگاه ستاره خلیج‌فارس ۱۲۰ هزار اصله، در پالایشگاه تهران ۳ هزار اصله، در پالایشگاه لاوان ۱۳۰۰ اصله، در پالایشگاه شیراز ۱۰۰۰ اصلی، در شرکت ملی مهندسی و ساختمان نفت ۲۰۰ هزار اصل، در پالایشگاه کرمانشاه ۱۰۰ هزار، در شرکت خطوط لوله و مخابرات نفت ۱۸ هزار و ۲۰۰ اصله، در شرکت ملی پخش فرآورده‌های نفتی ۲۲ هزار و ۵۰۰ اصله، در پالایشگاه آبادان ۳۲ هزار و ۵۰۰ اصله، در پالایشگاه اصفهان ۴۰ هزار اصله و در پالایشگاه شازند ۵۰ هزار اصله خواهد بود.
کد خبر 6014370
فاطمه صفری دهکردی"
economy,"به گزارش خبرگزاری مهر، سیدکمال هادیان‌فر معاون حمل و نقل وزیر راه و شهرسازی، گفت: براساس آمار موجود در وزارت راه و شهرسازی، در ۱۰ ماه نخست امسال مجموعاً ۱۲ میلیون و ۶۶۱ هزار تن کالا از کشور ترانزیت شده که این میزان نسبت به‌مدت مشابه سال قبل، ۴۰.۵ درصد افزایش داشته است. همچنین در این مدت ۱۰ ماه، ترانزیت کالای نفتی و غیرنفتی به‌ترتیب با عملکرد ۴ میلیون و ۱۰۰ هزار تن و ۸ میلیون و ۵۶۱ هزار تن، افزایش ۸۸.۵ و ۲۵.۲ درصدی را نسبت به ده‌ماهه نخست سال ۱۴۰۱ رقم زده‌است.
دبیر شورای‌عالی هماهنگی ترابری کشور افزود: از مجموع عملکرد فوق، سهم حمل‌ونقل جاده‌ای و ریلی به‌ترتیب برابر با ۱۱ میلیون و ۴۰۰ هزار تن و یک میلیون و ۲۶۱ هزار تن است که در بخش‌های جاده‌ای و ریلی، به‌ترتیب رشد ۴۶ درصدی و یک درصدی نسبت به‌مدت مشابه سال قبل محقق شده‌است.
رشد ۱۲.۱ درصدی ترانزیت ریلی طی ۱۲ ماه
هادیان‌فر ادامه‌داد: در دی امسال و با تداوم رشد جهش‌گونه ترانزیت ماهانه در سال جاری، عملکرد یک میلیون و ۶۰۶ هزار و ۱۳۸ تن حاصل شده که بدین ترتیب، رشد نقطه به نقطه ۸۷ درصدی نسبت به دی سال قبل ثبت شده‌است. در این ماه، ترانزیت جاده‌ای کالاهای نفتی و غیرنفتی به‌ترتیب با عملکرد ۶۱۵ هزار و ۸۱۹ تن و ۸۲۳ هزار و ۳۱۹ تن، افزایش ۳۷۴ درصدی و ۴۲.۱ درصدی را نسبت به دی سال‌گذشته داشته و ترانزیت ریلی مجموع کالاهای نفتی و غیرنفتی با عملکرد ۱۶۷ هزار تن، رشد ۱۲.۱ درصدی داشته است.
به گفته هادیان‌فر، در دی سال جاری، به‌ترتیب افزایش ۱۹۳ درصدی و ۴۱ درصدی ترانزیت کالاهای نفتی و غیرنفتی در این ماه نسبت به میانگین کل عملکرد مشابه ماهانه ۱۲ ماهه سال گذشته و همچنین؛ به‌ترتیب افزایش ۸۵ درصدی و ۲۵ درصدی ترانزیت جاده‌ای و ریلی در این ماه نسبت به میانگین کل عملکرد مشابه ماهانه ۱۲ ماهه سال‌گذشته محقق شده‌است.
کد خبر 6012765"
economy,"به گزارش خبرگزاری مهر به نقل از روابط‌عمومی بانک تجارت، این بانک در دهمین ماه از سال ۱۴۰۲ تعداد ۶۷۵۱ فقره تسهیلات ازدواج پرداخت کرد و مجموع پرداختی‌ها در این سرفصل از ابتدای سال تا پایان دی‌ماه را به ۸۷ هزار و ۴۵۵ فقره رساند.
بانک تجارت همچنین در راستای اجرای قانون حمایت از فرزندآوری، در دی‌ماه سال جاری، تعداد ۱۰۲۴۶ فقره تسهیلات پرداخت کرد و به این ترتیب تعداد پرداختی‌ها در این بخش تا پایان دی‌ماه، به ۷۰ هزار و ۸۶۹ فقره بالغ شد.
بر اساس این گزارش، در حال حاضر ۱۷ هزار و ۶۷۴ نفر از متقاضیان تسهیلات ازدواج و ۵۰ هزار و ۲۰۶ نفر از متقاضیان تسهیلات فرزندآوری در نوبت دریافت این تسهیلات هستند که با تکمیل مدارک مورد نیاز به نوبت وام خود را دریافت خواهند کرد
کد خبر 6012746"
economy,"به گزارش خبرگزاری مهر، گمرک ایران در بخشنامه‌ای فهرست اعلامی وزارت جهاد کشاورزی در خصوص کالاها و تعرفه‌های مشمول ترخیص صد درصدی و نود درصدی را ابلاغ کرد.
در این بخشنامه آمده است: پیرو بند ۴ ابلاغیه شماره ۴۰۲/۱۶۳۳۲/۸۱۶۴ مورخ ۱۴۰۲/۱۰/۱۶ موضوع ترخیص معادل ۱۰۰ درصد کالاهای سریع | بخش غیر دولتی دارای ثبت سفارش بانکی با تشخیص و مسئولیت وزیر جهاد کشاورزی به پیوست تصویر نامه شماره ۲۵۸۳۶۲ مورخ ۱۴۰۲/۱۱/۹ معاونت محترم توسعه بازرگانی وزارت جهاد کشاورزی در قالب دو فهرست شامل: ۳۸۷( سیصد و هشتاد و هفت ردیف تعرفه کالا تحت عنوان ترخیص صددرصدی» و (۳۰ سی) ردیف تعرفه کالا تحت عنوان «ترخیص درصدی» به شرح فایل پیوست، جهت بهره برداری و اقدام لازم با رعایت کامل سایر مقررات و ضوابط ارسال می‌گردد.
کد خبر 6012932"
economy,"به گزارش خبرنگار مهر، شاخص کل بورس در انتهای معاملات امروز با رشد ۳۸۰۹ واحدی مواجه شد، بازار امروز متعادل بود و بسیاری از نمادها در وضعیت مثبت قرار داشتند، ارزش معاملات خرد عدد ۴,۷۶۴ میلیارد تومان را به ثبت رسانده است که نسبت به میانگین هفتگی، ۶% و نسبت به میانگین ماهانه ۱۰% کاهش داشته است.
در یک هفته گذشته برآیند معاملات در بازار سهام، خروج نقدینگی حقیقی (فروش حقیقی به حقوقی) به ارزش ۱,۱۲۷ میلیارد تومان را نشان می‌دهد. اما امروز ۱۳۵ میلیارد تومان ورود نقدینگی انجام شده است.
برآیند معاملات صندوق‌های درآمد ثابت نیز در یک هفته گذشته حاکی از ۸۷۵ میلیارد تومان خروج نقدینگی حقیقی از این صندوق‌ها است. خروج نقدینگی از این صندوق می‌تواند نکته مثبتی برای بازار سهام باشد. امروز نیز روند خروج نقدینگی حقیقی از صندوق‌های درآمد ثابت با ثبت رقم ۶۹۶ میلیارد تومان همچنان ادامه دارد. در یک هفته گذشته شیب خروج از این صندوق‌ها هم نسبت به میانگین ماهانه در حال افزایش است.
ارزش صف‌های خرید ۱۶۶ میلیارد تومان است که نسبت به میانگین هفتگی ۱۱ میلیارد تومان افزایش داشته است. از سوی دیگر ارزش صف‌های فروش با کاهش ۵ میلیارد تومانی نسبت به میانگین هفتگی، در محدوده ۱۸۵ میلیارد تومان قرار دارد.
بیشترین ارزش معاملات را گروه انبوه سازی با ثبت رقم ۱۲۰ میلیارد تومان (۰.۲ برابر میانگین هفتگی) به خود اختصاص داده است. پس از آن گروه‌های خودرویی با ارزش معاملات ۵۶ میلیارد تومان (۰.۲ برابر میانگین هفتگی) و فلزات اساسی با ارزش معاملات ۵۰ میلیارد تومان (۰.۱ برابر میانگین هفتگی) قرار دارند.
گروه وسایل ارتباطی با ارزش معاملات ۶ میلیارد تومان (۰.۵ برابر میانگین هفتگی) بیشترین ارزش معاملات را نسب به میانگین هفتگی داشته است. پس از آن گروه هتل با ارزش معاملات ۱۴ میلیارد تومان (۰.۵ برابر میانگین هفتگی) و گروه کانه‌های فلزی با ارزش معاملات ۴۵ میلیارد تومان (۰.۳ برابر میانگین هفتگی) قرار دارند.
کد خبر 6013124
وحید بلالی"
economy,"به گزارش خبرگزاری مهر جواد اوجی در راستای صدور خدمات فنی مهندسی، پیگیری پالایشگاه‌های فرا سرزمینی، تعمیرات پالایشگاه‌ها، بازار سازی برای بخش خصوصی صنعت نفت ایران به‌خصوص در زمینه پتروشیمی و سرمایه‌گذاری در صنعت نفت با پدرو تله‌چیا، وزیر نفت و ایوان خیل، وزیر خارجه و دیگر مقام‌های ونزوئلایی دیدار و گفت‌وگو کرد.
در این دیدارها ضمن گفت‌وگو در خصوص موضوعات توسعه روابط حوزه نفت و گاز، پیگیری و نظارت بر طرح‌های پالایشگاهی، پروژه‌های زیرساختی حوزه نفت و گاز، روند پیشرفت پروژه‌های در دست اجرای پالایشی، پتروشیمی، زیرساختی و انتقال گاز بررسی شد.
بر اساس این گزارش، ظرفیت‌های ویژه صنعت نفت برای حضور در بازار پرسود آمریکای لاتین بسیار قابل توجه است؛ موضوعی که پیمانکاران، سازندگان تجهیزات و شرکت‌های دانش‌بنیان باید به‌طور جدی مدنظر قرار دهند و از حمایت و فرصت ایجادشده از سوی دولت بهره بگیرند. اقدام‌های وزارت نفت در توسعه روابط با کشورهای آمریکای لاتین را می‌توان سدشکنی این وزارتخانه در مبحث دیپلماسی انرژی برشمرد؛ اقدامی که مسیر را برای ورود شرکت‌های فعال در صنعت نفت ایران به بازار بزرگ انرژی آمریکای لاتین هموار کرده است.
این مسیر هموار در ۲۰ ماه گذشته فعالیت دولت نتیجه‌بخش بوده است و شرکت‌های خصوصی و نیمه‌دولتی ایران برای حضور در بازار بزرگ و سودآور ایجادشده یک فرصت طلایی پیدا کرده‌اند، به‌گونه‌ای که حجم مبادلات صنعت نفت ایران و ونزوئلا در این مدت به حدود ۳ میلیارد و ۵۰۰ تا ۴ میلیارد دلار رسیده است که پس از وقفه طولانی‌مدت، یک اتفاق بسیار بزرگ تلقی می‌شود.
این مبادلات شامل صادرات نفت و میعانات گازی، صدور خدمات فنی و مهندسی، صدور کالا و تجهیزات نفتی، بازسازی، تعمیرات دوره‌ای و افزایش ظرفیت مجتمع‌های پالایشی کشور ونزوئلا می‌شود. ورود به توسعه میدان‌های نفت و گاز، توسعه پایانه‌های نفتی، استفاده از ظرفیت پتروشیمی‌های موجود و بازسازی آن و شریک شدن در سود تولیدات آنها از دیگر برنامه‌های وزارت نفت برای توسعه روابط با ونزوئلاست. بخش خصوصی توانمند ایرانی می‌تواند با صدور خدمات فنی، مهندسی، همچنین صادرات تجهیزات مورد نیاز صنعت پتروشیمی آمریکای لاتین سود بسیار زیادی از این مسیر هموارشده نصیب خود و کشور کند.
بازسازی و افزایش ظرفیت این واحدهای پتروشیمی می‌تواند دست بخش خصوصی را برای ورود به بازار محصولات پتروشیمی در منطقه آمریکای لاتین نیز هموارتر کند. این بدان معناست که شرکت‌های بخش خصوصی با تولید محصولات پتروشیمی از نفت و میعانات صادرشده ایرانی در پالایشگاه‌های ونزوئلا که به‌دست شرکت‌های ایرانی نوسازی و بازسازی شده‌اند و توسعه یافته‌اند، ضمن فروش محصول در همان منطقه، افزون بر جلوگیری از اعمال هزینه‌های ناشی از جابه‌جایی محصول و افزایش بهره‌وری، می‌توانند دست برتر را در تنظیم‌گری بازار محصولات پتروشیمی در منطقه آمریکای لاتین و در نتیجه بازارهای منطقه آمریکا به‌دست آورند. از طرفی از فشار آثار تحریمی بر اقتصاد کشور بکاهند.
وزارت نفت در طول این دوره در آمریکای لاتین موانع پیش روی این شرکت‌ها را برداشته است. این اقدام با بازسازی و افزایش ظرفیت پالایشگاه‌ها، صادرات نفت و میعانات و خدمات فنی، مهندسی و تجهیزات نفتی دنبال می‌شود و امروز مسیر برای شرکت‌های خصوصی به‌منظور صادرات و کسب درآمد و بازاریابی و بازار سازی در این منطقه کاملاً هموار شده است.
ونزوئلا که نخستین مقصد روابط نفتی ایران با آمریکای لاتین بوده است، ظرفیت بسیار خوبی در صنعت نفت دارد. این کشور دارنده بیشترین ذخایر نفتی جهان است و مجتمع‌های پالایشی، پتروشیمی، تأسیسات انتقال گاز متعدد و دیگر تأسیسات نفتی مرتبط با صنعت نفت را در اختیار دارد. جدای از ونزوئلا، بازار منطقه آمریکای لاتین نیز بازاری بسیار بزرگ و مطلوب برای صادرات خدمات فنی، مهندسی، تجهیزات، فرآورده‌های نفتی و محصولات پتروشیمی محسوب می‌شود.
کد خبر 6013440"
