Class,Text
politics,"به گزارش خبرگزاری مهر، «هادی طحان نظیف» سخنگوی شورای نگهبان در حساب شخصی خود در فضای مجازی نوشت: طرح اصلاح ماده (۱) قانون تسهیل تکالیف مودیان جهت اجرای قانون پایانه‌های فروشگاهی و سامانه مودیان در جلسه شورای نگهبان مطرح و خلاف موازین شرع و قانون اساسی شناخته نشد.
نمایندگان مجلس شورای اسلامی در جلسه روز دوشنبه ۱۸ دی ۱۴۰۲ صحن مجلس با تصویب طرح اصلاح ماده (۱) قانون تسهیل تکالیف مودیان جهت اجرای قانون پایانه‌های فروشگاهی و سامانه مودیان، کلیه مودیان مالیاتی اعم از حقیقی و حقوقی را ملزم به صدور صورتحساب الکترونیکی موضوع قانون پایانه‌های فروشگاهی و سامانه مودیان کردند.
قانون تسهیل تکالیف مودیان جهت اجرای قانون پایانه‌های فروشگاهی و سامانه مودیان، ۲۲ آذر ۱۴۰۲ در نامه‌ای از سوی قالیباف جهت اجرا به سیدابراهیم رئیسی، رئیس جمهور ابلاغ شده بود.
در ماده یک قانون تسهیل تکالیف مودیان جهت اجرای قانون پایانه‌های فروشگاهی و سامانه مودیان آمده است: از تاریخ یکم دی ۱۴۰۲ تمامی مودیان اعم از حقیقی و حقوقی ملزم به صدور صورتحساب الکترونیکی موضوع قانون پایانه‌های فروشگاهی و سامانه مودیان مصوب ۲۷ مهر ۱۳۹۸ با اصلاحات و الحاقات بعدی هستند.
به منظور رعایت موعد زمانی فوق سازمان برنامه و بودجه کشور مکلف است به ازای هر ماه تأخیر به ازای موعد زمانی مزبور به میزان ۵ درصد تا سقف ۵۰ درصد از منابع اختصاصی سازمان امور مالیاتی کشور موضوع ماده ۲۱۷ قانون مالیات‌های مستقیم مصوب سوم اسفند ۱۳۶۶ کاهش دهد پس از اینکه سازمان امور مالیاتی کشور به تأیید وزیر امور اقتصادی و دارایی امکان صدور و ارسال صورتحساب‌های الکترونیکی توسط تمامی مودیان را فراهم کرد، درصدهای کاهش‌یافته به حالت قبل بازمی‌گردد.
کد خبر 6013218
نفیسه عبدالهی"
politics,"به گزارش خبرگزاری مهر، ۱۲ بهمن سالروز ورود تاریخی حضرت امام خمینی ره بنیانگذار کبیر انقلاب اسلامی روزی تاریخی و فراموش نشدنی در تاریخ ایران است که در ذهن و یاد مردم شریف ایران اسلامی نقش بسته است، حضرت آیت الله خامنه رهبر معظم انقلاب اسلامی درباره آن روز تاریخی می‌فرمایند: روز ورود امام همه خوشحال بودند، می‌خندیدند. بنده از نگرانی بر آنچه که برای امام ممکن است پیش بیاید، بی‌اختیار اشک می‌ریختم و نمی‌دانستم که برای امام ممکن است چه پیش بیاید؛ چون یک تهدیدهایی هم وجود داشت.
بعد رفتیم وارد فرودگاه شدیم. با آن تفاصیل امام وارد شدند. به‌مجرد اینکه #آرامش امام ظاهر شد، نگرانی‌ها و اضطراب ما به‌کلی برطرف شد. یعنی امام با آرامش خودشان به بنده و شاید به خیلی‌های دیگر که نگران بودند، آرامش بخشیدند.
وقتی‌که بعد از سال‌های متمادی، امام را من زیارت می‌کردم آنجا، ناگهان خستگیِ این چندساله مثل اینکه از تن آدم خارج می‌شد. احساس می‌شد که همه آن آرزوها مجسم شده در وجود امام و با کمال صلابت و با یک تحقق واقعی و پیروزمندانه، اینجا درمقابل انسان تبلور پیدا کرده .۶۲/۱۰/۲۴
در واقع «فَاِذا دَخَلتُموهُ فَاِنَّکم غالِبونَ» با ورود امام همان مطلبی که خدای متعال به اصحاب موسی فرمود، در مورد اصحاب امام بزرگوار ما تحقق پیدا کرد. وقتی وارد شد، خدای متعال غلبه را ثبت کرد و تمام شد. ۷۵/۱۱/۱۲
کد خبر 6011163
نفیسه عبدالهی"
politics,"به گزارش خبرگزاری مهر، «ناصر کنعانی» حملات نظامی آمریکا به مناطقی در عراق و سوریه را ناقض حاکمیت و تمامیت ارضی عراق و سوریه، حقوق بین‌الملل و نقض صریح منشور ملل متحد دانست و گفت: افزون بر حمایت تمام عیار آمریکا از ۴ ماه حملات بی‌امان و وحشیانه رژیم صهیونیستی علیه ساکنان غزه و کرانه غربی و نیز حملات نظامی به یمن و نقض حاکمیت و تمامیت ارضی این کشور، حمله شب گذشته به سوریه و عراق، اقدام ماجراجویانه و خطای راهبردی دیگری توسط دولت آمریکاست که نتیجه‌ای جز تشدید تنش و بی ثباتی در منطقه نخواهد داشت.
کنعانی حملات نظامی آمریکا به عراق و سوریه و یمن را صرفاً تأمین کننده اهداف رژیم صهیونیستی دانست و گفت: اینگونه حملات، دولت آمریکا را بیشتر از قبل در منطقه درگیر می‌کند و جنایات رژیم صهیونیستی در غزه را تحت‌الشعاع قرار می‌دهد.
سخنگوی وزارت امور خارجه ضمن هشدار مجدد نسبت به خطر گسترش ابعاد و جغرافیای جنگ و درگیری در منطقه افزود: تداوم اینگونه ماجراجویی‌ها تهدیدی برای صلح و امنیت منطقه‌ای و بین‌المللی است و جمهوری اسلامی ایران مجدداً بر مسؤلیت جامعه جهانی و نیز شورای امنیت سازمان ملل متحد در پیشگیری از حملات غیرقانونی و یکجانبه آمریکا در منطقه و پیشگیری از توسعه دامنه‌های بحران تاکید می‌نماید.
سخنگوی دستگاه دیپلماسی افزود همانگونه که جمهوری اسلامی ایران بارها اعلام کرده است، ریشه تنش و بحران در منطقه، به اشغالگری رژیم اسراییل و تداوم عملیات نظامی این رژیم در غزه و نسل‌کُشی فلسطینیان با حمایت نامحدود آمریکا برمی‌گردد و بازگشت ثبات و امنیت در منطقه جز در سایه تمرکز بر ریشه بحران و علاج آن متصور نیست.
کد خبر 6013022
نفیسه عبدالهی"
politics,"به گزارش خبرنگار مهر، «هادی طحان نظیف» سخنگوی شورای نگهبان از تأیید شدن صلاحیت بیش از ۷۵۰ نفر دیگر از داوطلبان نمایندگی مجلس شورای اسلامی خبر داد و گفت: اسامی این ۷۵۰ نفر امروز به وزارت کشور ارسال خواهد شد و از طریق وزارت کشور به داوطلبان نیز اطلاع رسانی خواهد شد.
طحان نظیف گفت: تاکنون تعداد کل داوطلبان انتخابات مجلس شورای اسلامی که از سوی هیأت مرکزی نظارت بر انتخابات تأیید صلاحیت شده اند، از ۱۴ هزار نفر گذشت.
سخنگوی شورای نگهبان تصریح کرد: بررسی‌های شورای نگهبان درباره صلاحیت داوطلبان انتخابات مجلس شورای اسلامی تا ۱۹ بهمن ادامه خواهد یافت و نتایج بعد از ۱۹ بهمن به داوطلبان اعلام خواهد شد.
وی درباره آخرین وضعیت بررسی اعتراض داوطلبان تأیید صلاحیت نشده انتخابات مجلس خبرگان رهبری، گفت: مهلت رسیدگی به اعتراضات داوطلبان انتخابات ششمین دوره مجلس خبرگان رهبری نیز بر اساس تقویم انتخابات تا ۱۸ بهمن است و با بررسی‌هایی که توسط فقهای شورای نگهبان صورت می‌گیرد، چنانچه تغییری در نتایج صورت گیرد، به داوطلبان اعلام خواهد شد.
کد خبر 6014152
زهرا علیدادی"
politics,"به گزارش خبرگزاری مهر، «علی صالح آبادی»، سفیر ایران در قطر از اجرایی شدن لغو ویزای ورود به ایران برای گردشگران قطری از امروز (۱۵ بهمن ۱۴۰۲) خبر داد.
وی ضمن ابراز خشنودی از پیوندهای مشترک و متعدد فرهنگی میان دو ملت، اقدام اخیر دولت جمهوری اسلامی ایران مبنی بر لغو یک طرفه ویزا برای شهروندان قطری را گامی مهم در راستای توسعه روابط همکاری و رشد گردشگری در راستای تأمین منافع ملی دو کشور عنوان کرد.
کد خبر 6014259
نفیسه عبدالهی"
politics,"به گزارش خبرگزاری مهر، گروه سیاست – ۲۶ روز دیگر تا یازدهم اسفند، موعد انتخابات «خبرگان ششم» و «مجلس دوازدهم» زمان باقی است و روز به روز بر حال و هوای انتخاباتی جامعه و کنشگری‌های سیاسی - انتخاباتی احزاب و تشکل‌ها افزوده می‌شود.
در ادامه، برخی اخبار و حواشی سیاسی-انتخاباتی را مرور و زمزمه‌ها و درگوشی‌های این حوزه را در قالب یک بسته خبری، ارایه می‌کنیم. این شما و این دهمین بخش از سلسله «واگویه‌های انتخاباتی مهر».
گفت‌وگوی «جبهه پایداری» با سایر جریان‌های انقلابی
«صادق محصولی» دبیرکل جبهه پایداری در جریان نشست داخلی اعلام موجودیت سازمان جوانان این جبهه با اشاره به لیست مستقل یا لیست مشترک جبهه پایداری در انتخابات آتی، گفت: چون در شرایط فعلی، یک ماه به انتخابات مانده است، نمی‌شود دقیقاً در مورد وجود لیست واحد از طرف جریان غرب‌گرا نظر داد؛ البته ما خودمان را محدود نکردیم و با جریان‌های انقلابی گفت‌وگو می‌کنیم و ان‌شاءالله با توجه به شرایط ناظر بر فضای انتخابات، تصمیم‌گیری می‌کنیم.
ائتلاف «لاریجانی» و «روحانی» منتفی است
«منصور حقیقت‌پور» فرد نزدیک به «علی لاریجانی» درباره ادعای اخیر روزنامه ایران مبنی بر اینکه «لاریجانی» و «روحانی» قرار است با یک ائتلاف برای انتخابات مجلس لیست ارایه دهند، گفت: ائتلاف زمانی می‌تواند رخ دهد که آنها در سبد رای‌شان آورده‌ای داشته باشند. این دو لیستی که اعلام شده‌اند پلو و خورش نیستند بلکه سالاد هستند، یعنی تأمین‌کننده نیازهای اصلی فضا و انتخابات نیستند و نمی‌توانند ورق انتخابات را به سمت پرشور شدن و رقابتی کردن برگردانند. بنابراین بحث ائتلاف منتفی است.
لیست اصولگرایان یکپارچه خواهد شد
«مالک شریعتی» دبیرکل «جبهه تحول‌خواهان» و عضو مرکزی «شورای ائتلاف نیروهای انقلاب اسلامی» طی مصاحبه‌ای گفت: پیش‌بینی من از حضور نامزدهای انتخاباتی این است که جریان رقیب نیروهای انقلاب یعنی جریان غرب‌گرا حتماً در انتخابات با تمام قدرت ظاهر می‌شوند و در تهران یک لیست قابل‌توجه و قابل‌اعتنایی خواهند داشت. و لذا به نظر می‌رسد که یک ضرورت سیاسی و یک ضرورت گفتمانی حتماً ما را به یک انسجام فهرست خواهد رساند. به‌جز مجموعه موسوم به عدالت‌خواه که مستقل عمل می‌کنند به نظرم لیست اصولگرایان یا نیروهای انقلاب اسلامی یکپارچه خواهد شد.
مُحرک اصلاح‌طلبان تندرو کیست؟
«محمد خاتمی» در پیامی به انجمن اسلامی جامعه پزشکی ایران، ضمن بیان اینکه شرط قطعی انتخاباتِ مطلوب این است که آزاد باشد و تصمیم‌گیرنده اصلی و نهایی مردم باشند، نوشت: «جبهه اصلاحات» راهبرد انتخاباتی خوب و متینی ارایه داده است.
با عنایت به اینکه از فحوایِ راهبردِ انتخاباتی اصلاح‌طلبان چنین برداشت شده که با صندوق رأی قهر کرده‌اند، این پیامِ خاتمی به اثبات می‌رساند که محرک عناصر رادیکال جبهه اصلاحات برای ترویجِ گفتمانِ «قهر با صندوق رأی» چه کسی است؟
البته ناگفته نماند که طیف‌هایی از جبهه اصلاحات از جمله «حزب کارگزاران» مخالف رویکرد انتخاباتیِ سلبی و قهرگونه عناصر تندروی حزب «اتحاد ملت» هستند.
گمانه‌زنی پیرامون استراتژی انتخاباتی «قالیباف»
حضور «محمدباقر قالیباف» در جلسه شورای‌عالی استان‌ها، سبب برخی گمانه‌زنی‌ها در خصوص استراتژی انتخاباتی او شده است. این گمانه‌زنی‌ها از آنجایی شدت گرفته که رییس فعلی شورای‌عالی استان‌ها، یک اصلاح‌طلب تبریزی به نام «شهران دبیری» است.
نقطه محوری این گمانه‌زنی‌ها آن است که قالیباف از هم اکنون با راهنمای راست (شورای ائتلاف اصولگرا) و چرخش چپ (همراهی با اصلاح‌طلبانی چون دبیری) برای فردای ۱۱ اسفند (روز انتخابات ریاست مجلس آینده) برنامه دارد و نیاز به رأی اصلاح‌طلبان.
کد خبر 6012981"
politics,"به گزارش خبرگزاری مهر، در گفت وگوی تلفنی حسین امیرعبداللهیان وزیر امور خارجه کشورمان و جوزف بورل نماینده عالی اتحادیه اروپا در امور سیاست خارجی و امنیتی، آخرین وضعیت روابط جمهوری اسلامی ایران و اتحادیه اروپا و همچنین تحولات منطقه‌ای و بین المللی مورد بحث و تبادل نظر قرار گرفت.
وزیر امور خارجه جمهوری اسلامی ایران در این گفت وگو، ضمن اشاره به تحولات غزه، ضرورت توقف جنایات جنگی رژیم صهیونیستی در کشتار و نسل کشی مردم فلسطین را مورد تاکید قرار داده و آن را گامی اساسی در توقف بحران در کل منطقه دانست.
امیرعبداللهیان تصریح کرد: هرگونه ائتلاف و اقدامات تشنج زا مشابه آنچه آمریکا و انگلیس در حمله به یمن انجام دادند، نه تنها کمکی به بازگشت ثبات به منطقه نمی‌کند، بلکه منجر به پیچیده‌تر شدن اوضاع خواهد شد.
وی افزود: جمهوری اسلامی ایران تمامی طرف‌ها را به اقدام فوری، مؤثر و پایدار با تمرکز بر ریشه‌های اصلی بحران توصیه می‌کند زیرا ریشه بحران در اشغالگری است.
امیرعبداللهیان با اشاره به نقش مثبت آقای بورل، بر اهمیت تداوم گفت وگو در مسیر دیپلماسی و حل بحران‌ها از مسیر وجود کانال گفتگوهای نیرومند و سازنده میان اتحادیه اروپا و جمهوری اسلامی ایران استقبال کرد.
جوزف بورل هم با ابراز نگرانی از تشدید تنش در دریای سرخ، نقش جمهوری اسلامی ایران برای کمک به بازگشت ثبات به منطقه را مورد تاکید قرار داد.
بورل در ادامه با اشاره به تصمیم اتحادیه اروپا برای تشکیل ائتلاف دریایی خاطر نشان ساخت: این ائتلاف تنها برای حفاظت از کشتی‌های تجاری اروپا در برابر حملات احتمالی در دریای سرخ بوده و هیچ ماهیت نظامی، علیه کشوری ندارد.
در این گفت وگو، طرفین با اشاره به اهمیت گفت وگو در کمک به بازگشت ثبات منطقه‌ای و بین المللی، بر ضرورت حفظ مسیر تماس در سطوح مختلف میان جمهوری اسلامی ایران و اتحادیه اروپا تصریح کردند.
همچنین طرفین آخرین تحولات مربوط به توافق هسته‌ای را مورد بررسی قرار دادند.
کد خبر 6011645
هادی رضایی"
politics,"به گزارش خبرگزاری مهر، دبیرخانه دائمی کنفرانس بین‌المللی حمایت از انتفاضه فلسطین مجلس شورای اسلامی در آستانه فرارسیدن چهل و ششمین بهار انقلاب اسلامی ایران، بیانیه‌ای صادر کرد.
متن بیانیه دبیرخانه دائمی کنفرانس بین‌المللی حمایت از انتفاضه فلسطین مجلس شورای اسلامی به شرح زیر است:
بسم الله الرحمن الرحیم
چهل و ششمین بهار آزادی فرا رسید و انقلاب اسلامی ایران علی رغم تمامی دسیسه‌های مستمر استکبار جهانی و همدستان آن‌ها در داخل و منطقه پرتوان‌تر از همیشه نقش بی نظیری را در شکل گیری هندسه قدرت در جهانِ جدید بر عهده گرفته است.
ملت عظیم الشأن ایران اسلامی، به فضل الهی و با رهبری حکیمانه حضرت امام خامنه‌ای (مد ظله العالی) در تداوم صراط مستقیمی که حضرت امام خمینی (ره) به روی ملت ایران و همه ملت‌های عدالت خواه گشود با شتاب به سوی قله‌های رفیعِ عزت، قدرت، پیشرفت و تعالی گام بر می‌دارد و ملت‌های عدالت خواه و مقاوم، همگام با ملت ایران در شکل‌گیری جهانِ جدید، نقشی برجسته ایفا می‌نمایند و دشمنان عدالت و انسانیت و در رأس آن‌ها رژیم اشغالگر قدس، با سرعت در مسیر زوال و نابودی قرار گرفته‌اند.
دبیرخانه دائمی کنفرانس بین‌المللی حمایت از انتفاضه فلسطین مجلس شورای اسلامی، ایام الله دهه مبارک فجر را به یکایک ملت‌های عدالت خواه به ویژه ملت سرافراز ایران و ملت‌های مقاوم منطقه تبریک و تهنیت عرض می‌نماید و هم زمان با پایان چهارمین ماه طوفان الاقصی، آحاد ملت به ویژه نخبگان علمی، فرهنگی و اجتماعی را به تداوم حمایت‌های پر شکوه و همه جانبه خود از ملت قهرمان فلسطین تا نابودی رژیم صهیونیستی و استقرار دولت فلسطینی بر تمام خاک فلسطین از بحر تا نهر فرا می‌خواند و همچنین مراتب تقدیر و سپاس خود از ملت عزیز ایران که در چهار ماه گذشته با تمام ظرفیت و امکان در صحنه حمایت از طوفان الاقصی حضور داشتند به ویژه کارگروه‌های ۲۶ گانه انصار الاقصی اعلان می‌دارد.
کد خبر 6011901
نفیسه عبدالهی"
politics,"«سعدالله زارعی» کارشناس ارشد مسائل غرب آسیا در گفت‌وگو با خبرنگار مهر، با اشاره به تجاوز هوایی بامداد امروز آمریکا به مناطقی از سوریه و عراق اظهار کرد: تجاوز هوایی آمریکا به خاک عراق و سوریه، اتفاق تازه‌ای نبود و پیش‌تر آمریکایی‌ها به پایگاه‌هایی در عراق و سوریه حمله کرده بودند؛ این حملات شباهت زیادی به حملات قبلی دارد.
زارعی با اشاره به حملات مقاومت به پایگاه نظامی آمریکا در اردن، اظهار کرد: کاری که مقاومت در پایگاه «رکبان» علیه آمریکایی‌ها انجام داد ابتکار عمل، اقدامی ویژه، خارج از جغرافیای مقاومت و در محیطی دور از تصور آمریکا بود.
وی گفت: آمریکایی‌ها برای اینکه از وقوع حوادث غیر مترقبه (واکنش احتمالی ایران و عدم افزایش سطح درگیری‌ها در منطقه) پیشگیری کنند، ابتدا تمرکز زیادی درباره سطح واکنش خود داشتند و پس از آن دست به اقدامات عمدتاً نمایشی و جنایتکارانه زدند. تجاوز امروز آمریکا، سطح کنترل شده‌ای از واکنش به منظور متوقف‌کردن اتفاقاتی از قبیل آنچه در «رکبان» رخ داد، بود.
زارعی افزود: بنابراین تجاوز اخیر آمریکا به سوریه و عراق، نه اقدام ابتکاری بلکه صرفاً در واکنش به ضربه‌ای که در اردن دریافت کردند، بود.
گفتنی است، منابع خبری در سوریه و عراق بامداد امروز از تجاوز جنگنده‌ها و هواپیماهای آمریکایی به مناطقی در استان «دیر الزور» واقع در شرق سوریه خبر دادند.
به گفته این منابع در این حملات، مناطقی بین «البوکمال» و «المیادین» در شرق سوریه هدف قرار گرفته است.
منابع عراقی همچنین از حملات هوایی آمریکا به مناطق مرزی عراق مانند «القائم» نیز خبر داده‌اند. به گفته این منابع مقر نیروهای الحشد الشعبی این کشور هدف قرار گرفته‌اند.
کد خبر 6012959
نفیسه عبدالهی"
politics,"به گزارش خبرگزاری مهر، «هانس گروندبرگ» نماینده ویژه دبیرکل سازمان ملل که وارد تهران شده است، قرار است با تعدادی از مقامات وزارت امور خارجه کشورمان درباره وضعیت یمن و آخرین تحولات در این حوزه از جمله مذاکرات صلح، رایزنی و گفت‌وگو کند.
گفتنی است؛ نماینده ویژه دبیرکل سازمان ملل در امور یمن، آبان‌ماه گذشته نیز به تهران سفر کرده بود.
کد خبر 6012680"
