Class,Text
sport,"به گزارش خبرگزاری مهر، امروز (شنبه ۱۴ بهمن ماه) استقلال در دیداری دوستانه مقابل تیم نساجی مازندران با تساوی یک بر یک به پایان رسید.
شاگردان جواد نکونام که خود را برای بازی با مس رفسنجان در چارچوب رقابت‌های جام حذفی آماده می‌کنند، در دیداری تدارکاتی در کمپ مرحوم ناصر حجازی به مصاف این تیم رفتند.
تک گل استقلال در این دیدار توسط مهرداد محمدی از روی نقطه پنالتی به ثمر رسید.
گفتنی است دیدار دو تیم مس رفسنجان و استقلال در مرحله یک شانزدهم نهایی جام حذفی، روز جمعه هفته جاری به میزبانی رفسنجان برگزار خواهد شد.
کد خبر 6013222"
sport,"به گزارش خبرگزاری مهر، فدراسیون وزنه‌برداری آسیا در کنگره سالانه خود در حاشیه مسابقات قهرمانی آسیا در ازبکستان، چین و هند را به عنوان برگزارکنندگان دو دوره آتی این رقابت‌ها انتخاب کرد. این اتفاق در حالی افتاده است که کویت نیز با کسب میزبانی مسابقات نوجوانان و جوانان آسیا در سال ۲۰۲۵، برگزاری اولین رویداد مهم بین‌المللی خودش را تجربه می‌کند.
با این انتخاب، ورزشگاه چهار هزار نفری و مجهز شهر جیانگ‌شان چین میزبان مسابقات سال ۲۰۲۵ آسیا خواهد بود و شهر گاندی نگر مرکز ایالت گجرات که به عنوان پایتخت ورزش هند شهرت دارد، در سال ۲۰۲۶ مسابقات قهرمانی آسیا را میزبانی خواهد کرد.
فدراسیون آسیا همچنین در همکاری با فدراسیون جهانی وزنه برداری، دوره‌های بین‌المللی مربیگری را برگزار خواهد کرد که تا پایان سال جاری میلادی، جزئیات آن مشخص می‌شود.
به گفته محمد جلود، رئیس IWF، «این گام مهمی برای پاکسازی وزنه برداری است و مدرک مربیگری کسانی که در دوپینگ ورزشکاران‌شان نقش داشته باشند، ابطال خواهد شد.»
کد خبر 6014006
سیده فرزانه شریفی"
sport,"به گزارش خبرگزاری مهر و به نقل از روابط عمومی فدراسیون ووشو، توماس باخ رئیس کمیته بین‌المللی المپیک اعلام کرد، مشارکت بین‌المللی ووشو نقش مهمی در تعیین آینده آن به عنوان یک ورزش رسمی بازی‌های المپیک را ایفا خواهد کرد.

ووشو به عنوان یک ورزش مدال آور در بازی‌های المپیک جوانان داکار ۲۰۲۶ حضور خواهد داشت. حضور یک رشته ورزشی در المپیک جوانان، اغلب به عنوان یک شاخص کلیدی برای پیوستن آن ورزش در بازی‌های المپیک است. در طول بازی‌های المپیک ۲۰۱۴ جوانان در نانجینگ، برگزارکنندگان، مسابقات ووشو را به عنوان بخشی از یک برنامه فرهنگی و آموزشی برگزار کردند.

باخ در این خصوص گفت: ووشو به مانند سنگنوردی نیاز به آزمون در یک محیط ""تجربی"" دارد. پس از آزمایش‌های موفقیت‌آمیز در بازی‌های المپیک قبلی جوانان، رشته سنگنوردی به بازی‌های المپیک اضافه شد.

رئیس کمیته بین‌المللی المپیک اظهار داشت، ما خوشحالیم که ووشو را در برنامه رسمی داکار ۲۰۲۶ قرار می‌دهیم. ارزش و اشتیاق زیادی در سنگال، کشور میزبان بازی‌های المپیک جوانان برای این رشته ورزشی وجود دارد.

رئیس کمیته بین المللی المپیک اعلام کرد: ووشو پس از اولین حضور خود در المپیک داکار، مبنای محکمی برای ارزیابی خواهد داشت. باید منتظر بمانیم و سطح به رسمیت شناختن و مشارکت بین المللی و همچنین عملکرد کلی مسابقات را مشاهده کنیم. پس از این تحلیل، در موقعیتی قرار خواهیم گرفت که در مورد حضور ووشو در برنامه المپیک آینده تصمیم‌گیری کنیم.
کد خبر 6013013"
sport,"به گزارش خبرنگار مهر، تیم ملی فوتبال ایران در مرحله یک چهارم نهایی جام ملت‌های آسیا موفق شد با نتیجه ۲ بر یک ژاپن را شکست دهد و راهی مرحله نیمه نهایی شود.
امید ابراهیمی بازیکن تیم ملی کشورمان که در این دیدار با تلاش خود نقش مهمی در پیروزی تیم ملی داشت در پایان این مسابقه گفت: قبل از هر چیز خدا را شکر می‌کنم. بچه‌های تیم ملی در این دیدار از جان مایه گذاشتند. بین دو نیمه و در رختکن به هم گفتیم که هنوز هیچ چیز از دست ندادیم. گل اول به ما شوک وارد کرد اما باعث شد عملکرد بهتری از خود به نمایش بگذاریم.
وی ادامه داد: در نیمه دوم ما عملکرد درخشانی از خود به نمایش گذاشتیم و تیم ژاپن نتوانست خطری روی دروازه ما ایجاد کند. ما با غیرت ایرانی توانستیم ژاپن را ببریم. همه بچه‌ها از جان مایه گذاشتند و این پیروزی مبارک مردم ایران باشد. بعد از گل دوم همه خوشحال بودیم و با وجودی که هنوز بازی تمام نشده بود بغضی از سر شادمانی داشتیم. ما تلاش می‌کنیم این پیروزی ادامه دار باشد و بتوانیم راهی فینال شویم.
کد خبر 6013307"
sport,"به گزارش خبرنگار مهر، تیم‌های ملی فوتبال ایران و ژاپن در مرحله یک چهارم نهایی جام ملت‌های آسیا ۲۰۲۳ امروز شنبه ۱۴ بهمن در ورزشگاه اجوکیشن سیتی رو در روی هم قرار گرفتند که این بازی با برتری دو بر یک ایران همراه شد.
محمد محبی و علیرضا جهانبخش توانستند دو گل ایران را در این بازی به ثمر برسانند. پس از پایان بازی و از سوی کنفدراسیون فوتبال آسیا AFC محمد محبی به عنوان بهترین بازیکن زمین شناخته شد.
کد خبر 6013319
مهدی مرتضویان"
sport,"به گزارش خبرنگار مهر از قطر، هاجیمه موریاسو سرمربی تیم ملی فوتبال ژاپن پس از شکست دو بر یک مقابل ایران اظهار داشت: به تیم ملی ایران تبریک می‌گویم. متأسفانه باید تورنمنت را در یک‌چهارم نهایی ترک کنیم. از هواداران فوتبال ژاپن معذرت‌خواهی می‌کنم. مسؤولیت این نتیجه را بر عهده می‌گیرم و به نظرم کادر فنی و بازیکنان ژاپن، تمام توان خود را گذاشتند.
وی در مورد اینکه تیمش در هر مسابقه حداقل یک گل دریافت کرد، گفت: ما از جنبه‌های زیادی پیشرفت کرده بودیم. در جام ملت‌های آسیا پنج بازی کردیم و حداقل یک گل در هر دیدار خوردیم. اگر کلین‌شیت نکنیم، نمی‌توانیم پیروز شویم. متأسفانه در زمانی که فشار روی دروازه ژاپن ایجاد شد، نتوانستیم عملکرد خوبی داشته باشیم و ایران خط حمله باکیفیتی داشت.
سرمربی ژاپن در ادامه اظهاراتش بیان کرد: مقابل رقیبی قدرتمند نباید چنین گلی بخوریم. با این حال فقط از خط دفاعی حرف نمی‌زنم و به نظرم باید گل دوم را می‌زدیم. اگر این اتفاق می‌افتاد، بازی با شرایط متفاوتی دنبال می‌شد. نتوانستیم توپ‌های دوم را در میانه زمین ببریم و در اواخر مسابقه فشار زیادی روی دروازه ما ایجاد شد.
موریاسو درباره عملکرد نه چندان مطلوب کو ایتاکورا، مدافع ژاپن خاطرنشان کرد: او کار سختی داشت؛ چون ما نتوانستیم بهتر از این مقابل ایران حمله کنیم. ما باید اشتباهات خودمان را جبران کنیم و از لحاظ انفرادی و تیمی بهتر از این باشیم.
وی در مورد اینکه ژاپن نتوانست بر فشارهای شاگردان قلعه‌نویی مقابل ژاپن فایق آید، تصریح کرد: ایران در آخرین دقایق نیمه اول فشار زیادی روی دروازه ما به وجود آورد، اما موقعیت زیادی جز از راه ارسال‌ها و پرتاب‌های بلند ایجاد نکرد. همچنین می‌توانستیم در نبردهای هوایی عملکرد بهتری داشته باشیم.
سرمربی ژاپن با بیان اینکه نتوانست به هدفی که در ذهن داشت دست یابد، عنوان کرد: ما فقط به دنبال دفاع نبودیم و برای ضدحمله برنامه‌ریزی کردیم که برخلاف برنامه‌ای که داشتیم، گل خوردیم. با تعویض‌های انجام شده تلاش کردیم این فشارها را تحمل کنیم که جواب نداد.
کد خبر 6013415
مهدی مرتضویان"
sport,"به گزارش خبرنگار مهر، سعید عزت اللهی پس از پیروزی ایران مقابل ژاپن و صعود به نیمه نهایی جام ملت های ۲۰۲۳ آسیا - قطر گفت: اول به همه اعضای کادر فنی و بازیکنان خسته نباشید می گویم. امروز همه همدل و هم قسم شدیم تا فعل خواستن را صرف کردیم و ثابت کردیم اگر بخواهیم می‌شود. دست خانواده‌هامون را میبوسم، مخصوصا در این دو روز که شرایط واقعا سخت بود.
وی گفت: بازی اول مقابل سوریه ۱۲۰ دقیقه بود و بعد از آن هم و استرس پنالتی داشتیم. با این حال همه همت کردیم تا در این بازی سربلند شویم.خدا را شکر که این اتفاق افتاد. در این سه روز باید اول از همه از نظر مغزی ریکاوری کنیم تا خودمان را برای نیم نهایی آماده کنیم.
کد خبر 6013313
سیده فرزانه شریفی"
sport,"به گزارش خبرنگار مهر، تیم‌های ملی فوتبال ایران و ژاپن در مرحله یک چهارم نهایی جام ملت‌های آسیا ۲۰۲۳ امروز شنبه ۱۴ بهمن از ساعت ۱۵ در ورزشگاه اجوکیشن سیتی دوحه رو در روی هم قرار می‌گیرند.
به همین خاطر از سوی امیر قلعه نویی ترکیب تیم ملی به شرح زیر اعلام شد:
علیرضا بیرانوند، شجاع خلیل زاده، محمدحسین کنعانی زادگان، رامین رضاییان، میلاد محمدی، امید ابراهیمی، سعید عزت اللهی، سامان قدوس، علیرضا جهانبخش، محمد محبی و سردار آزمون.
مهدی طارمی مهاجم تیم پورتو در دیدار قبلی برابر سوریه با دریافت دومین کارت زرد از بازی اخراج شد و به همین خاطر دیدار امروز برابر ژاپن را از دست داد.
کد خبر 6013025"
sport,"به گزارش خبرنگار مهر، تیم‌های ملی فوتبال ایران و ژاپن امروز شنبه از ساعت ۱۵ در مرحله یک چهارم نهایی جام ملت‌های آسیا فینال زودهنگام این مسابقات را برگزار خواهند کرد.
مرتضی پورعلی گنجی بازیکن تیم فوتبال پرسپولیس که به دلیل مصدومیت نتوانست تیم ملی را در جام ملت‌های آسیا همراهی کند در گفت و گو با شبکه «الکاس» قطر به شرایط تیم ملی در این مسابقات پرداخت و گفت: همانطور که می‌دانید ایران همانند، قطر، کره جنوبی و ژاپن جز مدعیان است و در مرحله گروهی توانست عنوان نخست را به دست آورد. تیم‌های ضعیف در این دوره از مسابقات نشان داده اند که از قدرت خوبی برخوردار هستند و هیچ بازی آسانی وجود ندارد. همه تیم‌ها در یک سطح هستند و اختلاف کمی بین تیم‌های حاضر در این مسابقات وجود دارد.
وی در ادامه افزود: همانطور که همه می‌دانند ما در این دوره از مسابقات در مرحله گروهی امتیازات کامل را کسب کردیم و به عنوان تیم نخست به مرحله حذفی راه پیدا کردیم و با مهارت کادر فنی و بازیکنان توانستیم بازی‌ها را با پیروزی پشت سر بگذاریم.
وی در خصوص دیدار با ژاپن هم گفت: هربازی شرایط خاص خودش را دارد و دیدار امروز با ژاپن هم دیدار سختی خواهد بود و اما امیدواریم که در این دیدار بتوانیم موفق شویم و ژاپن را شکست دهیم.
کد خبر 6012861"
sport,"به گزارش خبرنگار مهر، تیم‌های ملی فوتبال ایران و ژاپن در مرحله یک چهارم نهایی هجدهمین دوره رقابت‌های جام ملت‌های آسیا ۲۰۲۳ امروز شنبه ۱۴ بهمن از ساعت ۱۵ در حضور ۳۵ هزار تماشاگر در ورزشگاه اجوکیشن سیتی دوحه و به قضاوت «ما نینگ» از چین به مصاف هم رفتند که این دیدار ۲ بر یک به سود ایران خاتمه یافت.
حاشیه پایانی این دیدار را در زیر خواهید خواند:
* بازیکنان تیم ملی فوتبال پس از پیروزی مقابل ژاپن به شادی پرداختند و بازیکنان روی سر جهانبخش ریختند.
* کنعانی زادگان که روی گل پیروزی ایران تأثیر گذار بود روی زمین نشست و از شادی گریه کرد.
* جهانبخش که به عنوان کاپیتان در این دیدار وظیفه سنگینی را داشت شدیداً در حال گریه بود و پس از گریه در گوشه‌ای از زمین سجده شکر به جا آورد.
* کاپیتان تیم ملی پس از سجده شکر کاپیتان تیم ملی ژاپن را در آغوش کشید و با او به خوش و بش کرد.
* محمد محبی زننده گل اول ایران در این دیدار به روی سکوها رفت و مهدی طارمی که به دلیل کارت قرمز در این بازی محروم بود در آغوش کشید.
کد خبر 6013292"
